accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
economy,"n. 经济, 理财, 节约
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
benefit,"n. 利益
vt. 有益于
vi. 受益"
intend,"vt. 计划, 打算, 意思是
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
financial,"a. 财政的, 金融的
"
legal,"a. 法律的, 法定的, 合法的
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
economic,"a. 经济上的, 实用的, 节省的
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
inclusive,"a. 包含的, 包括的"
intelligence,"n. 智力, 情报, 信息
"
promote,"vt. 促进, 晋升, 创办, 推销
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
community,"n. 社区, 公众, 共有, 共同体
"
concept,"n. 观念, 概念
"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
infer,"vt. 推论出, 推断
vi. 作推论"
investment,"n. 投资
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
ambition,"n. 野心, 志向"
competition,"n. 竞争, 竞赛
"
consequence,"n. 结果, 重要性
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
available,"a. 可利用的, 可获得的, 有效的
"
avoid,"vt. 避免, 防止, 撤消
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
policy,"n. 政策, 方针, 策略, 保险单
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
status,"n. 状态, 情形, 地位, 要人身份
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
analysis,"n. 分析
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
humanity,"n. 人性, 人类, 博爱"
indicate,"vt. 显示, 象征, 指示, 指出
"
species,"n. 种, 类, 外形
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
cater,"v. 提供饮食及服务, 投合, 迎合"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
conceive,"vt. 构思, 认为
vi. 怀孕"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
define,"vt. 定义, 规定, 使明确
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
layman,"n. 俗人, 门外汉, 凡人
"
majority,"n. 多数, 大半
"
predict,"v. 预知, 预言, 预报"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
according to,"根据, 按照；取决于；据…所说"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
alter,v. 改变
capacity,"n. 容量, 能力, 才能, 资格
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
creative,"a. 有创造力的, 创作的, 产生的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
democracy,"n. 民主政治, 民主主义
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
ensure,"vt. 确定, 保证, 担保, 保护
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
powerful,"a. 有力的, 有权力的, 强大的
"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
religion,"n. 宗教, 信仰
"
requirement,"n. 需求, 必要条件, 要求
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
agency,"n. 代理机构, 经销商, 中介
"
association,"n. 协会
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
crime,"n. 犯罪, 罪行, 罪恶
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
insist,"v. 坚持, 坚决主张, 强调"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
moreover,"adv. 而且, 此外"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
origin,"n. 起源, 起因, 出身, 开端
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
rake,"n. 耙子, 钱耙, 斜度, 浪子
v. 搜索, 掠过, (用耙子)耙, (使)倾斜"
response,"n. 反应, 回答, 响应
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
site,"n. 位置, 场所, 地点
vt. 给...择址"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
consumption,"n. 消费, 消费量, 痨病
"
criticism,"n. 批评, 评论, 非难
"
emphasis,"n. 强调, 加强, 重点, 强语气"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
infrastructure,"n. 基础结构, 基础设施
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
opportunity,"n. 机会, 时机"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
unique,"a. 独一无二的, 独特的, 稀罕的"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
application,"n. 应用, 申请, 志愿书, 应用程序
"
assess,"vt. 估定, 对...征税, 评定
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
contrive,"v. 发明, 设计, 图谋"
crucial,"a. 决定性的, 重要的, 严厉的
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
eventually,"adv. 最后, 终于"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
insurance,"n. 保险, 保险业, 保险费
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
psychology,"n. 心理学, 心理状态
"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
refute,"vt. 反驳, 驳斥；驳倒"
regulation,"n. 规则, 管理, 调整
"
rely,"vi. 信赖, 依赖, 信任"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
aggravate,"vt. 使恶化, 使更严重, 加重"
appropriate,"a. 适当的
"
aspect,"n. 外观, 方面, 面貌, 方向
"
astronomy,n. 天文学
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
category,"n. 种类, 类项
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
determine,"v. 决定, 决心"
domestic,"a. 家庭的, 国内的, 驯养的
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emotion,"n. 情绪, 激动, 强烈的情感
"
existence,"n. 存在, 生存
"
explore,"v. 探险, 探测, 探究"
extent,"n. 范围, 程度, 区域
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
institution,"n. 机构, 惯例, 制度
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
mechanical,"a. 机械的, 机械性的, 力学的
"
possibility,"n. 可能性, 可能的事
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
previous,"a. 早先的, 前面的, 过急的
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
procedure,"n. 程序, 过程, 手续
"
publication,"n. 出版物, 出版, 公布
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
reasonable,"a. 合理的, 明理的, 适当的
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
