antenna,"n. 天线, 触须, 触角
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
antismoking,"n. & adj.反对吸烟(的), 禁止吸烟(的)"
automation,"n. 自动化, 自动操作
"
automobile,"n. 汽车
"
autonomous,"a. 自治的
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
achievement,"n. 完成, 成就, 功业"
achiever,n. 获得成功的人
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agreement,"n. 同意, 合约, 协议
"
aligned,a. 对齐的；均衡的
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
analysis,"n. 分析
"
analyst,"n. 分析者, 精神分析学家
"
analytic,"a. 分析的, 善于分析的, 解析的
"
analytical,"a. 分析的, 善于分析的, 解析的
"
analyze,"vt. 分析, 细察, 分解
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
aspect,"n. 外观, 方面, 面貌, 方向
"
aspiration,"n. 热望, 志向, 渴望
"
asset,"n. 资产, 有益的东西"
athlete,"n. 运动员, 运动选手
"
availability,"n. 有效性, 可利用性, 可利用的人
"
available,"a. 可利用的, 可获得的, 有效的
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
avoid,"vt. 避免, 防止, 撤消
"
awaken,"vt. 唤醒, 唤起, 使意识到
vi. 觉醒, 意识到"
aware,"a. 知道的, 有觉悟的"
awareness,"n. 意识, 认识
"
benefactor,"n. 恩人, 捐助者, 施主
"
beneficial,"a. 有益的, 受益的
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
because,conj. 因为
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
between,prep. 在...之间
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
biased,"a. 有偏见的
"
coherence,"n. 黏合(性), 连贯性, 一致性
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
coincidence,"n. 巧合, 同时发生
"
collaborative,"a. 合作的, 协作的"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
