future,"n. 未来, 将来
a. 将来的, 未来的"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
taxi driver,出租车司机；的士司机
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
singer,n. 歌手
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
lifeguard,"n. 卫兵, 禁卫军, 救生员"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
become,"vi. 变成, 变得
vt. 适合"
good at, 擅长…
be good at,擅长
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
Ms,"abbr. 多发性硬化
n. “M”的复数
"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
primary school,"n. 小学, 初等学校; 参见：elementary school"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
bus stop,公共汽车站
by bus,乘公共汽车
far from,"远离, 远非"
on foot,"na. 步行；在进行中；徒步
"
by bike, 骑自行车；骑单车
by car,乘汽车
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
begin,"v. 开始
"
