month,"n. 月
"
cute,"a. 可爱的, 聪明的, 伶俐的
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
turtle,n. 海龟
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
grow up,"成熟, 成年, 发展, 逐渐形成"
junior high school,初中
born,"a. 天生的
bear的过去分词"
be born, 出生于…; 落地; 诞; 下生
famous,"a. 出名的, 极好的"
during,prep. 在...的时候
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
everyone,"pron. 每个人, 人人
"
countryside,"n. 乡下地方, 乡下居民"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
summer holiday,"n. 暑假
"
healthy,"a. 健康的, 有益健康的, 卫生的
"
unhealthy,a. 不健康的
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
cola,"结肠, 冒号, 科朗
"
yesterday,"n. 昨天
adv. 昨天"
fruit,"n. 水果, 果类, 结果
"
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
pizza,n. 比萨饼
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
chicken,"n. 小鸡, 鸡肉"
chocolate,"n. 巧克力
a. 巧克力制的"
a little,"一些, 一点点, 一点儿, 稍微, 些许"
fish and chips,n. 炸鱼，加炸土豆片
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
son,"n. 儿子, 女婿, 子孙
"
daughter,"n. 女儿
a. 女儿的"
noisy,"a. 嘈杂的, 喧闹的
"
owl,"n. 猫头鹰
"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
make noise, 噪
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
South China tiger,无
blue whale,n. 蓝鲸
