weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
kilogram,"n. 千克, 公斤
"
centimetre,"n. 厘米, 公分"
taller,a. 高的( tall的比较级 ); 难以置信的; 难以完成的; （用以表示或询问高度）有...高
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
themselves,"pron. 他们自己, 她们自己, 它们自己"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
go fishing,去钓鱼
enjoy oneself,过得快乐
get ... in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
writer,"n. 作家, 撰稿者, 抄写员
"
photographer,"n. 摄影师, 摄影者"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
street cleaner,n. 清道夫
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
broom,"n. 扫帚, 金雀花
vt. 扫除"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
street sweeper,n. 清道夫，清路机; 扫路机
wife,"n. 妻子, 太太, 夫人
"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
fairy,"n. 仙女, 精灵
a. 仙女的"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
by hand,用手
right away,立刻
in a short time, <非正>过了一阵子
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
online,[计] 联机
head teacher,n. 校长; 班主任
PS,"n. 附言
"
mountain,"n. 山, 山脉, 大堆"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
dinosaur,n. 恐龙
a piece of,"一块..., 一片..."
have a picnic,"吃野餐,去野餐"
better and better,adv. 越来越好
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
oil painting, 油画
powerful,"a. 有力的, 有权力的, 强大的
"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
Chinese ink painting,无
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
paints,n. 绘画颜料
artist,"n. 艺术家, 画家"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
carefully,"adv. 小心地, 谨慎地"
on the left,在左边
on the right, 在右边，在右侧
all the time,始终
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
scissors,"pl. 剪刀
"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
saw,"n. 锯子, 谚语
vt. 锯, 锯开, 来回移动
vi. 拉锯, 移动
see的过去式"
craftsman,"n. 工匠, 技工, 手艺人"
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
easily,"adv. 容易地, 轻易地, 流利地"
himself,"pron. 他自己, 他亲自"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
model house,样板住宅
a long time ago,很久以前
at work,"在工作, 在运转"
say to oneself,心里想到
long race,无
short race,无
