meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
morning,"n. 早晨, 早上, 初期"
classmate,n. 同班同学
her,"pron. 她的, 她"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
afternoon,"n. 午后, 下午"
his,"pron. 他的
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
woof,"n. 纬线, 织物, 基本成分, 低吠声, 低鸣声"
but,"prep. 除了
conj. 但是
adv. 仅仅"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
sad,"a. 忧愁的, 悲哀的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
thirsty,"a. 口渴的, 渴望的, 干燥的"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
any,"a. 任何的
pron. 任何"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
family,"n. 家庭, 家人, 族
a. 家庭的"
parent,"n. 父母, 父母亲, 根源
"
grandparent,n. 祖父母
son,"n. 儿子, 女婿, 子孙
"
grandfather,"n. 祖父, 始祖
"
grandpa,"爷爷, 老太爷, 外公"
grandmother,"n. 祖母, 女祖先"
grandma,"n. 奶奶, 外婆"
uncle,"n. 叔父, 伯父, 姨丈"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
T-shirt,"短袖运动衫,短袖汗衫"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
shorts,"n. 短裤, (美)男人的短衬裤
"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
shirt,"n. 衬衫, 内衣, 汗衫"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
a pair of,"一对..., 一付..."
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
fireman,"n. 救火队员, 消防队员
"
teacher,"n. 教师, 老师, 导师"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
bus driver,[计] 总线驱动器
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
