approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
sufficient,"a. 充分的, 足够的
"
considerable,"a. 相当的, 可观的, 重要的"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
enormous,"a. 巨大的, 庞大的"
numerous,"a. 很多的, 数目众多的, 多数的
"
efficient,"a. 有效率的, 能干的"
efficiency,"n. 效率, 效能, 功效
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
adequate,"a. 适当的, 足够的
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
fruitful,"a. 结果实的, 多实的, 产量多的"
beneficial,"a. 有益的, 受益的
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
accurate,"a. 正确的, 精确的
"
accuracy,"n. 精确, 正确
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
excessive,"a. 过度的, 过多的, 极端的
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
