alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
behalf,"n. 利益, 方面"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
identical,"a. 同一的, 恒等的, 完全相同的
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
internal,"a. 内在的, 国内的
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
expense,"n. 费用, 代价, 开支, 损失
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
competition,"n. 竞争, 竞赛
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
rarely,"adv. 很少地, 罕有地"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
complain,"v. 抱怨, 抗议, 控诉"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
circuit,"n. 电路, 环(行)道, 巡回
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
conventional,"a. 传统的, 习惯的, 约定的
"
destruction,"n. 破坏, 毁灭
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
fantasy,"n. 幻想, 想象的产物
"
option,"n. 选择权, 挑选, 选项
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
gaol,"n. 监禁, 监狱
vt. 监禁"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
sympathize,"vi. 同情, 怜悯, 同意, 体谅"
sympathise,"vi. 同情, 表示同情, 同感, 一致, 共鸣, 同意, 赞同, 赞成, 吊唁, 吊慰"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
satisfactory,"a. 满意的, 赎罪的
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
treaty,"n. 条约, 谈判
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
accelerate,"v. 加速, 促进"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
economical,"a. 节俭的, 经济的, 合算的
"
capable,"a. 有能力的, 能的, 能干的"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
convince,"vt. 说服, 使相信
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
evaluate,"vt. 评估, 评价, 赋值"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
notify,"vt. 通知, 通告, 报告
"
durable,"a. 持久的, 耐用的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
frontier,"n. 边界, 边境
"
illegal,"a. 违法的, 不合规定的
"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
invisible,"a. 看不见的, 无形的
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
prevail,"vi. 获胜, 流行, 盛行
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
abundant,"a. 丰富的, 充分的, 大量的"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
wealthy,"a. 富有的, 丰裕的, 充分的"
boring,"a. 烦人的, 无聊的, 无趣的
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
multiply,"v. 繁殖, 乘, 增加
"
incredible,a. 难以置信的
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
scarce,"a. 难得的, 稀罕的, 缺乏的"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
precise,"a. 精确的, 严谨的, 明确的
"
error,"n. 错误, 过失, 失误, 误差
"
restrain,"vt. 抑制, 阻止, 束缚
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
candidate,"n. 候选人, 投考者
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
distinction,n. 区别
contradiction,"n. 反驳, 矛盾
"
variation,"n. 变更, 变化, 变种, 变奏
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
controversy,"n. 论争, 辩论, 论战, 争论
"
feasible,"a. 能实行的, 可行的, 适宜的
"
economic,"a. 经济上的, 实用的, 节省的
"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
ensure,"vt. 确定, 保证, 担保, 保护
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
imagination,"n. 想像, 听觉, 想像力
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
shortage,"n. 不足, 缺乏
"
predict,"v. 预知, 预言, 预报"
proposal,"n. 提议, 计划, 求婚
"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
career,"n. 事业, 生涯, 成功
"
donation,"n. 捐赠物, 捐款, 捐赠
"
collision,"n. 碰撞, 冲突, 抵触
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
contribution,"n. 捐助, 捐助之物, 贡献
"
judgment,"n. 裁判, 宣告, 判决书
"
judgement,"n. 审判, 判决, 判断
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
exclusive,"a. 排外的, 独占的, 唯一的
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
concede,"vt. 承认, 退让
vi. 让步"
fiction,"n. 小说, 虚构故事
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
emphasize,"vt. 强调, 加强语气, 着重"
emphasise,"vt. 强调, 重读, 加强...的语气, 着重"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
unique,"a. 独一无二的, 独特的, 稀罕的"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
alliance,"n. 联盟, 联合
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
crucial,"a. 决定性的, 重要的, 严厉的
"
dominant,"a. 占优势的, 支配的
"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
