hello,"interj. 喂, 嘿"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
am,"be的单数第一人称
"
hi,interj. 喂
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
morning,"n. 早晨, 早上, 初期"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
goodbye,interj. 再见
afternoon,"n. 午后, 下午"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
is,"be的现在式第三人称
"
your,"pron. 你的, 你们的"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
my,"pron. 我的
"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
are,be的现在时复数或第二人称单数
you,"pron. 你, 你们"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
three,"num. 三, 三个"
four,"num. 四, 四个
"
five,"num. 五, 五个"
six,"num. 六, 六个"
seven,"num. 七, 七个"
eight,"num. 八, 八个"
nine,"num. 九, 九个"
ten,"num. 十, 十个"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
family,"n. 家庭, 家人, 族
a. 家庭的"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
brother,n. 兄弟
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
who,pron. 谁
he,"pron. 他
n. 男孩, 男人, 雄性动物"
she,pron. 她
grandfather,"n. 祖父, 始祖
"
grandpa,"爷爷, 老太爷, 外公"
grandmother,"n. 祖母, 女祖先"
grandma,"n. 奶奶, 外婆"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
uncle,"n. 叔父, 伯父, 姨丈"
it,"pron. 它
"
a,"第一个字母 A; 一个; 第一的
art. "
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
cow,"n. 母牛, 母兽
vt. 威胁"
yes,"adv. 是
n. 是, 同意
v. 同意"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
not,"adv. 不, 非, 未
"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
hen,"n. 母鸡, 雌禽"
schoolbag,n. 书包
pencil-box, 铅笔盒
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
beautiful,a. 美丽的
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
sorry,"a. 难过的, 悲哀的, 遗憾的"
know,"v. 知道, 了解, 认识, 确信"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
hair,"n. 头发, 毛发, 些微
"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
feet,"pl. 脚
n. 尺"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
the,art. 那
bird,"n. 鸟, 羽毛球
vi. 打鸟"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
all right,"好, 顺利, 良好的, 正确的"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
tiger,"n. 老虎, 虎, 凶暴的人"
panda,"n. 大熊猫, 小熊猫"
elephant,n. 象
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
birthday,n. 生日
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
for,"prep. 为, 因为, 至于
conj. 因为
"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
notebook,"n. 笔记本, 手册, 期票簿"
