glad,"a. 高兴的, 喜欢的, 情愿的"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
again,"adv. 再一次, 又, 到原处"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
too,"adv. 也, 非常, 太"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
evening,"n. 傍晚, 晚间, 末期"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
Here you are.,"你已经到了,你要的东西在这儿!"
boy,"n. 男孩
"
girl,"n. 女孩, 少女, 女佣"
baby,"n. 婴孩
"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
yellow,"n. 黄色
a. 黄色的"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
black,"n. 黑色, 黑颜料
a. 黑色的"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
at,"prep. 在, 向, 对
"
T-shirt,"短袖运动衫,短袖汗衫"
they,"pron. 他们, 它们"
