APEC blue,无
covert deals,无
the Olympic Extension,无
stay up late, 深夜不睡，迟睡; 熬夜
white-collar crime,[网络] 白领犯罪；白人犯罪；白领阶层犯罪
start from scratch,"从起跑线开始, 从头开始"
century-old shop,无
seeing is believing,眼见为实
put on airs," 装腔作势, 摆架子; 态度傲慢; 拿班做势; 拿架子"
act arrogant and superior,无
shake off poverty, 摆脱贫困；脱贫
money worship,拜金主义
crew cut,平头
chartered flight, [航空]包机飞行
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
postgraduate recommendation,无
indemnificatory housing,无
indemnificatory apartment,无
cash deposit,[经] 现金存款
therapeutic massage, 保健按摩
shelf life,"保存期限
"
off the charts,[网络] 好得没治了；破记录；智商高的惊人
industry of windfall profits,无
reimburse,"vt. 付还, 偿还, 赔偿
"
be the scapegoat,无
bear the blame,"负责, 受过"
backpack tour,无
tragedy trump card,无
be released from quarantine,无
the year of one's animal sign,无
forced confession,强迫自白
extortive donation,无
unemployed graduate,无
disdain chain,无
match-throwing,无
closed-book exam,无
sidestep taxes,无
written confession,供状
disguise inflation,无
drag racing, 街头飚车（汽车）
lip service,口惠
sick leave,"病假, 病假工资
"
cram study sessions,无
bad loan,"[经] 呆帐, 坏帐"
bad practice, 习气
harmful practice,无
pedestrians-only street,无
residents of Chaoyang District,无
asset declaration,无
kitchen waste,[医] 厨房废弃物
market manipulation,市场操纵
long-haul flight,无
maternity leave,[法] 产假
excess industrial capacity,无
standing committee,[经] 常务委员会
put on a rival show,无
tea ceremony,(日本)茶道
sado,n. 茶道
excessive consumption,n. 超前消费
outdo oneself,"超过自己原来水平, 尽自己最大努力"
car quota,无
auto show model,无
traffic subsidy,无
shirk,"vi. 溜掉, 逃避, 推卸
vt. 逃避"
pass the buck,"推卸责任,推委"
urban management officer,无
sense of achievement, 成就感
inter-city high-speed rail,无
inter-city train,城际列车
inter-city commuters,无
urban air corridor,无
urban housing fund,无
rural-urban integration,城乡整合
the integration of urban and rural areas,无
urban growth boundary,无
UGB, [医][=undecalcified granulated bone]未脱钙（异体）骨颗粒
ready-to-wear line,无
be given cold shoulder,无
be jealous, 妒恨；吃醋；眼红；眼热
be green with envy,"十分嫉妒,嫉妒得要死,妒火中烧"
on the government payroll,无
receive kickbacks,无
sought-after," 很吃香的, 广受欢迎的"
freeloading, 利用别人慷慨而占便宜的
renowned trademark,无
authorized busker,无
impulse buys,[网络] 点像冲动购买；冲动型购物；冲动购物
rechargeable card, 充值卡
overlapping project,无
appearance fee,＝ appearance money
punching bag,"吊袋, 攻击目标"
maiden work,处女作
make life difficult for,无
make it hot for,刁难某人
pyramid scheme, 层压式推销
run yellow lights,无
set a new record, 创新纪录; 打破记录
inaugural issue,无
pro-innovation government,无
briefing,"n. 简报
"
Spring Festival travel rush,无
secondary disaster, 次生灾害
whip-round,勐一转身;募捐
staggered rush hour,无
doctor food label,无
phishing WiFi,无
give a lift,[网络] 让…搭车；搭便车
taxi-hailing app,无
put ... in a doggy bag,无
wrap up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
"
take a nano nap,无
squeal on someone,无
working holiday visa,无
WHV,abbr. 土拨鼠肝炎病毒（woodchuck hepatitis virus）
food stand,"n. 餐店
"
snack stand,快餐摊位
A-list star,无
big V,无
verified Weibo users who have more than 500000 followers,无
affordable restaurant,无
junior college student, 大专生
designated driver business,无
substitute teacher,n. 代课教师
gift card,[网络] 礼品卡；礼物卡；礼券
surrogate motherhood, [医]代理母亲
surrogate mother,"n. 替身母亲, 代孕母亲"
paid annual leave,n. 带薪年休假
odd-even car ban,无
navigation satellite,[法] 导航卫星
pirated book,无
moral bank,无
registered unemployment rate,无
low profile,n. 不引人注目的形象
vulgar productions,无
phubber,指在社交场合注意力不集中喜欢看手机的人
low fertility trap,无
earth sinking,无
illegal bank,无
roll call,点名
give a like,无
TV home shopping,无
movie royalties,无
film rating system,无
film panorama,无
electric self-balancing scooter,无
degrade oneself,堕落
revoke license,无
pique someone's interest,无
nail house,[网络] 钉子户；美容；美甲屋
top-level domain,[网络] 顶级域名；顶层网域；顶层域
top talents,无
designated hospital,无
customized calendar,无
host country,"[经] 东道国, 侨居国, 所在国"
ground-breaking ceremony,破土动工仪式
pep talk,"n. 〈非正式〉打气的话；激励人心的话
"
freezing rain,冻雨;过冷雨
jerry-built project,无
sever diplomatic relations, 断绝邦交
to one's taste,合味口
quite to one's taste,无
video spoof,无
stupid,"a. 愚蠢的, 麻木的"
second-child policy,无
second-hand house,[网络] 二手房；二手住房；平均价格
second-hand home,无
second-hand home transaction,无
“middleman” landlord,无
re-shoot the plays,无
reverse mortgage, [财]反抵押贷款
counter-terrorism unit,无
anti-monopoly probe,无
anti-dumping duty,[经] 反倾销税
meal pal,无
instant food,"速熟[速煮,即席]食品"
snacks,n. 快餐；小吃；零嘴（snack的复数）
mortgage loan,[经] 抵押借款
property tax,[经] 财产税
property ownership certificate,无
high temperature subsidy,无
excessive defense,无
illegal fishing,[网络] 非法捕鱼
match-fixing,[网络] 非法操纵比赛；内定比赛结果；打假球
unauthorized transmission,无
illegal practice of medicine,无
illegal fundraising,非法集资
distribute dividends,派息，分红
minimum enrollment mark,无
lowest mark for admission,无
share with friends,无
panel discussion,专题讨论会
gag order,[法] 司法限制言论令
shotgun wedding,"n. 强制婚姻, 勉强的妥协"
poverty threshold,无
paid live webcast,无
welfare lottery, 福利彩票
comfort fund,无
paternity leave, （丈夫为陪伴待分娩的妻子而获取的）陪产假
dry spell,干旱期;干期
be trendy,无
follow trends,无
be hip,无
be fashionable,无
rigid demand,[网络] 刚性需求；刚需
high-end dining sector,无
