frog,"n. 青蛙
"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
bee,"n. 蜜蜂, 聚会"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
sheep,"n. 羊, 胆小者"
hen,"n. 母鸡, 雌禽"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
noodles,"n. 面条, 挂面（noodle的复数形式）"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
doll,"n. 洋娃娃, 无头脑的美丽女人"
bicycle,n. 自行车
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
jelly,"n. 果冻, 果冻甜食, 胶状物
v. (使)结冻, (使)成胶状"
ice cream,"冰淇淋
"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
biscuit,"n. 饼干
"
cola,"结肠, 冒号, 科朗
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
rainy,"a. 下雨的, 多雨的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
T-shirt,"短袖运动衫,短袖汗衫"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
shorts,"n. 短裤, (美)男人的短衬裤
"
blouse,n. 宽松的上衣
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
firecracker,"n. 爆竹, 鞭炮
"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
boy,"n. 男孩
"
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
farmer,"n. 农夫, 农场主
"
