aeroplane,"n. 飞机
"
bus,"n. 公共汽车
"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
car,"n. 汽车, 客车
"
pineapple,"n. 凤梨, 菠萝, 失业救济金
"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
coffee,"n. 咖啡, 咖啡色
"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
tiger,"n. 老虎, 虎, 凶暴的人"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
panda,"n. 大熊猫, 小熊猫"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
clever,"a. 聪明的, 精明的"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
toy train,[网络] 玩具火车；小火车；马克吐温小火车
doll,"n. 洋娃娃, 无头脑的美丽女人"
skateboard,n. 溜冰板
robot,"n. 机械人, 自动机械, 机械般工作的人
"
lovely,"a. 可爱的, 有趣的"
hat,"n. 帽子
vt. 给...戴帽子"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
a pair of gloves,"na. 一副手套
"
a pair of socks,无
a pair of shoes,"na. 一双鞋；一双鞋子
"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
his,"pron. 他的
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
triangle,"n. 三角形, 三个一组, 三角关系
"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
rectangle,"n. 长方形, 矩形
"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
sea,"n. 海, 海洋, 海浪, 大量
"
mountain,"n. 山, 山脉, 大堆"
river,"n. 河, 江
"
plant a tree,无
have a picnic,"吃野餐,去野餐"
ice-skate,溜冰鞋
ski,"n. 滑雪橇
vi. 滑雪"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
feet,"pl. 脚
n. 尺"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
cinema,"n. 电影院, 电影"
zoo,n. 动物园
our,pron. 我们的
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
take a photograph,v. 拍…的照片
parent,"n. 父母, 父母亲, 根源
"
