atmosphere,"n. 大气, 空气, 气氛
"
atmosphere,"n. 大气, 空气, 气氛
"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
global warming,n. 全球变暖
global warming,n. 全球变暖
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
consumer,"n. 消费者
"
consumer,"n. 消费者
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
threat,"n. 恐吓, 恶兆, 威胁
"
threat,"n. 恐吓, 恶兆, 威胁
"
greenhouse,n. 温室
greenhouse,n. 温室
the greenhouse effect,"n. 温室效应
"
the greenhouse effect,"n. 温室效应
"
writer,"n. 作家, 撰稿者, 抄写员
"
writer,"n. 作家, 撰稿者, 抄写员
"
sunlight,"n. 日光
"
sunlight,"n. 日光
"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
lifeless,"a. 无生命的, 无趣味的, 死气沉沉的"
lifeless,"a. 无生命的, 无趣味的, 死气沉沉的"
carbon dioxide,"二氧化碳
"
carbon dioxide,"二氧化碳
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
ozone layer,[电] 臭氧层
ozone layer,[电] 臭氧层
occur,"vi. 发生, 被想到, 存在"
occur,"vi. 发生, 被想到, 存在"
protective,"a. 给予保护的, 保护的
"
protective,"a. 给予保护的, 保护的
"
burn ... up,"烧起来, 烧掉, 发怒"
burn ... up,"烧起来, 烧掉, 发怒"
CFC,abbr. 中央发射控制（Central Fire Control）；全套设备控制台（Complex Facility Console）；统一运费分类表（Consolidated Freight Classification）；认证理财顾问师（ertified Financial Consultant）
CFC,abbr. 中央发射控制（Central Fire Control）；全套设备控制台（Complex Facility Console）；统一运费分类表（Consolidated Freight Classification）；认证理财顾问师（ertified Financial Consultant）
spray can,"n. 喷壶, 喷雾器"
spray can,"n. 喷壶, 喷雾器"
destruction,"n. 破坏, 毁灭
"
destruction,"n. 破坏, 毁灭
"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
