relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
family tree,"系谱图, 家谱
"
granddaughter,"n. 孙女, 外孙女"
grandson,"n. 孙子, 外孙"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
member,"n. 成员, 会员
"
classmate,n. 同班同学
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
go shopping,去买东西
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
badminton,n. 羽毛球运动
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
go cycling,[网络] 去骑自行车；去骑车；去骑单车
almost,"adv. 几乎, 差不多"
never,"adv. 从不, 决不, 不曾
"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
each other,彼此
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
helpful,"a. 有帮助的, 有益的, 有用的"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
already,"adv. 已经, 早已"
Earth,[网络] 莉莎的天空
look after,"目送, 照顾, 关心"
environment,"n. 环境, 外界, 围绕
"
pollute,"vt. 污染, 弄脏, 玷污
"
pollution,"n. 污染, 玷污
"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
pick up,"v. 拾起；探出；重新开始
"
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
rubbish bin,"废物箱,垃圾箱"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
discuss,"vt. 讨论, 论述
"
reuse,"vt. 再使用
n. 重新使用"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
dragon,"n. 龙, 凶暴的人
"
weekend,"n. 周末, 周末休假"
seaside,"a. 海边的, 海滨的
n. 海滨"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
museum,n. 博物馆
activity,"n. 活动, 行动, 活跃, 活力
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
sandcastle,n. 沙堡
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
album,"n. 粘贴簿, 唱片套
"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
shall,aux. 将
o'clock,"n. ...点钟, 钟头"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
secretary,"n. 秘书, 书记, 大臣
"
bank,"n. 银行, 堤, 岸
"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
policewoman,"n. 女警察
"
dentist,"n. 牙科医生
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
fireman,"n. 救火队员, 消防队员
"
postman,"n. 邮递员
"
shop assistant,n. 店员
person,"n. 人, 人身, 人称
"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
put out,"v. 扑灭；熄灭；放出；伸出
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
find out,"na. 查出；发现；看清…的面目；识破
"
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
noticeboard,n. 布告牌
parent,"n. 父母, 父母亲, 根源
"
arrive,"vi. 到达, 抵达"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
classroom,n. 教室
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
finally,"adv. 最后, 终于"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
invitation,"n. 邀请, 请柬, 引诱
"
yesterday,"n. 昨天
adv. 昨天"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
ferry,"n. 渡船, 渡口
"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
half an hour, 半小时
hotel,"n. 旅馆, 客栈"
advertisement,"n. 广告, 启事, 广告宣传
"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
a few,"几个, 少数, 一些"
a lot of,许多的
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
light rail,轻轨
department store,"百货公司
"
kindergarten,n. 幼稚园
housing estate,"n. 居民村, 居住区; 住宅区, 住宅群; 住房费用"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
wait for,"na. 等；等待
"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
loudly,"adv. 高声地, 大声地, 吵闹地"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
escalator,"n. 电动扶梯, 自动扶梯
"
on the left,在左边
on the right, 在右边，在右侧
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
in the middle, 在中部; 正忙于; 拦腰; 当心
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
menu,"n. 菜单, (功能)选择单
"
cabbage,"n. 卷心菜
"
garlic,"n. 大蒜
"
noodle,"n. 面条, 笨蛋"
seafood,"n. 海味, 海鲜, 鱼类"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
prawn,"n. 明虾, 对虾
vi. 捕虾"
also,"adv. 也, 并且, 同样地"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
bacon,"n. 熏猪肉
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
frozen,"a. 冻结的, 冰冷的, 严寒的, 冻伤的, 冷酷的
freeze的过去分词"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
cola,"结肠, 冒号, 科朗
"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
nut,"n. 坚果, 核心, 螺帽
"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
chilli,n. 红辣椒
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
tasty,"a. 好吃的, 可口的"
delicious,a. 美味的
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
healthy,"a. 健康的, 有益健康的, 卫生的
"
eating,"n. 吃, 食物
a. 侵蚀的, 腐蚀性的"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
yogurt,"n. 酸乳酪
"
a little,"一些, 一点点, 一点儿, 稍微, 些许"
plenty of,许多的
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
unhealthy,a. 不健康的
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
countryside,"n. 乡下地方, 乡下居民"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
porridge,"n. 粥, 糊"
than,"conj. 比, 除...外
prep. 比"
as ... as,[网络] 砷；用法；和……一样
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
should,"aux. 应该, 将要"
suggestion,"n. 提议, 意见
"
