Asia,n. 亚洲
Japan,"n. 日本
"
Tokyo,"n. 东京
"
Thailand,n. 泰国
Bangkok,n. 曼谷
north-east,[地名] 东北镇 ( 美 )
north-west,"un. 西北
"
south-east,"n. 东南；东南方；东南地区
"
south-west,"n. 西南；西南方；西南地区
"
exhibition,"n. 表现, 展览会, 展览品
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
kilometre,"n. 公里, 千米"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
palace,"n. 宫, 宫殿, 华丽大厦"
tourist,"n. 观光客, 旅行者
a. 旅游的"
million,"n. 百万, 无数
num. 百万"
building,"n. 建筑物, 建筑
"
huge,"a. 极大的, 巨大的, 无限的"
famous,"a. 出名的, 极好的"
sushi,n. 寿司（生鱼片冷饭团）
airport,"n. 飞机场
"
Los Angeles,洛杉矶
suitcase,n. 手提箱
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
T-shirt,"短袖运动衫,短袖汗衫"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
passenger,"n. 乘客, 旅客
"
departure,"n. 离开, 出发, 违背, 偏离
"
have to," 不得不, 只好; 只得; 必须; 不得已"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
passport,"n. 护照, 手段, 通行证
"
