eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
thirteen,"num. 十三, 十三个"
fourteen,"num. 十四, 十四个"
fifteen,"num. 十五, 十五个"
sixteen,"num. 十六, 十六个"
classmate,n. 同班同学
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
thirsty,"a. 口渴的, 渴望的, 干燥的"
sad,"a. 忧愁的, 悲哀的"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
tired,"a. 疲累的, 疲乏的, 厌倦的"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
biscuit,"n. 饼干
"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
uncle,"n. 叔父, 伯父, 姨丈"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
teacher,"n. 教师, 老师, 导师"
student,"n. 学生, 研究者, 学者"
firefighter,n. <美>消防队员
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
bus driver,[计] 总线驱动器
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
shirt,"n. 衬衫, 内衣, 汗衫"
blouse,n. 宽松的上衣
T-shirt,"短袖运动衫,短袖汗衫"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
jeans,"n. 工装裤, 牛仔裤"
shorts,"n. 短裤, (美)男人的短衬裤
"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
friend,"n. 朋友, 支持者, 赞助者
"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
computer lab, 计算机实验室
office,"n. 办公室, 部, 公职, 职责
"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
behind,"adv. 在后地
prep. 在...背后"
in front of,在...前面
building,"n. 建筑物, 建筑
"
lesson,"n. 课, 课业, 教训"
lunch,n. 午餐
supermarket,"n. 超级市场
"
post office,"邮局
"
restaurant,"n. 餐馆, 饭店"
next to,几乎
between,prep. 在...之间
street,"n. 街道, 马路, 街区
a. 街道的"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
city,"n. 城市, 市
"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
a packet of sweets,无
a loaf of bread,一个面包
a bowl of noodles,无
a bar of chocolate,"na. 一块巧克力
"
a packet of biscuits,无
a bottle of water,[网络] 一瓶水；一杯水；一樽水
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
grass,"n. 草, 草原, 牧场
"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
meat,"n. 肉, 餐, 食物
"
Don't litter.,无
Don't walk on the grass.,无
Don't pick flowers.,无
Don't throw stones.,无
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
rubbish,"n. 废物, 垃圾, 胡说"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
bin,"n. (贮存谷物等的)容器, 箱子
"
sketchbook,"n. 写生簿, 素描簿, 短文集, 随笔集"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
aviary,"n. 大型鸟舍, 鸟类饲养场"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
pond,"n. 池塘
v. 筑成池塘"
far away, 遥远; 迢迢; 远离; 迥
road,"n. 路, 道路, 公路, 途径, 方法
"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
