well-dressed, 衣着入时的；穿着讲究的
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
sigh,"n. 叹息
vi. 叹息, 渴望
vt. 叹息着说"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
employee,"n. 职员, 员工, 受雇人员
"
prefer,"vt. 宁可, 较喜欢, 提出
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
expression,"n. 表达, 表现, 词语, 措辞
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
downwards,adv. 向下
assistance,"n. 协助, 援助
"
without hesitation,"na. 毫不踌躇地
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remind,"vt. 提醒, 使想起"
eye contact, 目光接触
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
hostility,"n. 敌意, 敌对, 反对"
boredom,"n. 厌烦, 厌倦, 令人厌烦的事物"
confusion,"n. 混乱, 混淆, 无秩序
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
consider,"v. 考虑, 思考, 认为"
lack of, 缺乏
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
avoid,"vt. 避免, 防止, 撤消
"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
in authority,持有权力的地位
concentration,"n. 集中, 专心
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
hairstyle,n. 发型
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
on top of the world,"幸福到极点, 处于最佳地位, 声名显赫"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
balanced,"a. 公平的, 平衡的
"
in addition,另外
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
conditioner,"n. 调节器, 土壤团粒结构促进剂
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
squeeze out,"榨出, 挤出
"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
damage,"n. 损害, 伤害
v. 损害"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
dirt,"n. 污垢, 泥土
"
hairdryer,n. （吹干头发的）吹风机
overuse,"vt. 使用过度
n. 过度使用, 任意驱使"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
ensure,"vt. 确定, 保证, 担保, 保护
"
pay attention to,注意
protein,"n. 蛋白质
a. 蛋白质的"
adequate,"a. 适当的, 足够的
"
dairy product,[化] 乳制品
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
rob ... of,"v. 抢走
"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
rinse,"n. 清洗, 染发, 染发剂
vt. 以清水冲洗, 漱, 漂清
vi. 被漂净"
regularly,"adv. 有规则地, 一丝不苟地, 正式地"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
construction,"n. 建筑, 构造, 建筑物
"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
include,"vt. 包括, 把...算入, 包住
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
bronze ware,青铜器;铜器
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
calligraphy,"n. 笔迹, 书法"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
historical,"a. 历史的, 史实的, 历史上的
"
civilization,"n. 文明, 教化
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
scenery,"n. 风景, 景色, 舞台布景"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
