fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
World Vision,世界展望会　
shocking,"a. 令人震惊的, 极坏的, 不正当的"
famine,"n. 饥荒, 缺乏, 饥饿"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
starve,"v. (使)饿死, (使)挨饿"
donation,"n. 捐赠物, 捐款, 捐赠
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
donate,v. 捐赠
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
funfair,"n. 游乐园, 游乐场"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
in aid of,"为援助,以援救…"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
crowded,"a. 拥挤的, 塞满的"
portrait-sketching,无
karaoke,"n. 卡拉OK；卡拉OK录音, 自动伴奏录音"
calculate,"v. 计算, 预测, 计划, 打算"
walkathon,n. <美><加拿大>(尤指为特定事业筹款而进行的) 步行马拉松
alumni,"pl. 男毕业生, 男校友"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
IT,"n. 信息技术（全写为 information technology，对将电子处理程序及设备应用于存储和发送各类信息的研究和利用）
"
information technology,[电] 信息技术
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
proceeds,"pl. 收益
"
come to,"谈到, 被...继承, 苏醒, 停止"
astonished,a. 吃惊的
pick up,"v. 拾起；探出；重新开始
"
souvenir,n. 纪念品
lasting,"a. 永久的, 永恒的, 持久的
n. 厚实斜纹织物"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
pint,"n. 品脱(干量或液量的单位)
"
play a role in,在...起作用
trucking,n. 货车运输业；货车运输；以货易货
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
virtually,adv. 事实上
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
pair ... with,与...成对
due to,"由于, 应归于"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
well-argued,[网络] 不错的主张
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
refute,"vt. 反驳, 驳斥；驳倒"
argument,"n. 争论, 论证, 论据, 自变量
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
status,"n. 状态, 情形, 地位, 要人身份
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
commit suicide,[法] 自杀
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
manual labour,[劳经] 手工劳动
statistics,"n. 统计学, 统计资料
"
life expectancy,
weightlifting,n. 举重
pay ... a compliment,[网络] 致意；赞美
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
concede,"vt. 承认, 退让
vi. 让步"
working,"n. 工作, 运转, 劳动
a. 工作的, 劳动的, 经营的, 抽搐的, 运转的"
non-working,[网络] 非在职；非有效；未实施
work out,"v. 作出；拟定；制定；计划一下
"
priority,"n. 优先权, 优先
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
point out,"na. 指出
"
discrimination,"n. 差别, 岐视, 辨别力
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
play one's part,尽自己职责；尽自己本分；尽自己一份力量
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
puberty,"n. 青春期, 春情发动期
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
adulthood,"n. 成年
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
deepen,"vi. 深化
vt. 使加深, 使强烈"
pimple,"n. 丘疹, 小脓疱
"
see-saw, 跷跷板
hormone,"n. 荷尔蒙
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
insecure,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的"
reluctant,"a. 不情愿的, 勉强的
"
cope,"vi. 竞争, 应付
n. 长袍"
sensible,"a. 有感觉的, 敏感的, 明智的
"
risky,a. 危险的
lifelong,"a. 终身的, 毕生的"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
the Straits of Malacca,无
luxurious,"a. 豪华的, 奢侈的, 放纵的"
acre,n. 英亩
beachfront,"n. 海滨地区
a. 靠海滨的"
whirlpool,"n. 漩涡, 涡流
"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
windsurfing,n. [体]帆板运动
waterskiing,(waterski 的现在分词)  进行水橇滑水
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
bet,"n. 打赌, 赌注
v. 打赌"
promote,"vt. 促进, 晋升, 创办, 推销
"
a couple of,"一对..., 三两个..."
enclosed,"a. 被附上的
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
annoying,"a. 恼人的, 讨厌的"
parasailing,n. [体](由汽船、汽车等牵引在空中滑翔的) 帆伞运动
have a go at,"尝试一下,试试看"
put up with,"忍受, 容忍
"
stand up for,"支持
"
parachute,"n. 降落伞
vi. 跳伞"
nervous,"a. 神经紧张的, 不安的, 神经的
"
put off,"na. 延期；辩解
"
excursion,"n. 远足, 游览圆, 短程旅行
"
dozen,"n. 打, 十二个
a. 一打的"
dozens of,"几十个,数十个;许多…"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
flu,"n. 流感, 流行性感冒"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get together,"聚集, 收集, 积累"
ecotourism,n. 生态旅游
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
era,"n. 时代, 纪元, 时期"
consciousness,"n. 意识, 知觉, 自觉
"
typically,adv. 代表性地；作为特色地
heritage,"n. 遗产, 祖先遗留物, 继承物
"
