hemisphere,"n. 半球, 地球的半面, 大脑半球
"
adaptable,"a. 能适应的, 适合的, 可修改的"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
the Arctic,北极区
resemble,"vt. 相似, 类似"
domestic,"a. 家庭的, 国内的, 驯养的
"
prey on,"捕食, 掠夺"
mammal,"n. 哺乳动物
"
moose,"n. 麋, 驼鹿"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
gorge oneself,无
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
cub,"n. 幼兽, 年轻人"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
indeed,"adv. 的确, 实在, 真正地, 甚至"
livestock,"n. 家畜
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
extinction,"n. 消失, 消灭, 废止
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
positive,"a. 肯定的, 积极的, 有把握的
"
orang-utan,"n. 猩猩
"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
species,"n. 种, 类, 外形
"
ape,"n. 无尾猿
"
come into contact with,vt. 接触(接触到)
consequently,adv. 所以
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
the wild,"荒野,户外"
be to blame,该受责备
be to blame for something,无
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
serve as something,无
existence,"n. 存在, 生存
"
dramatic,"a. 戏剧性的, 生动的"
dolphin,n. 海豚
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
cling to something,无
pray,"v. 祈祷, 恳求, 请"
pray for something,无
