promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
get straight A's,无
keep one's word,守信
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
Seoul,n. 汉城
South Korea,[经] 南韩
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
be dying to,渴望；想得要命；非常想要
be dying to do something,无
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
check in,"登记, 报到
"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
floodlight,"n. 照明灯, 泛光
vt. 用泛光灯照亮"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
ski,"n. 滑雪橇
vi. 滑雪"
instructor,"n. 教员, 讲师
"
gentle,"a. 温和的, 文雅的"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
in case,万一
to be honest,"老实说,说实在的"
success,"n. 成功, 成就, 胜利"
definitely,"adv. 明确无疑地, 清楚地"
manage to do, 设法做成某事
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
athletics,n. 体育运动
the Olympic Games,奥林匹克运动会
the Olympics,[网络] 奥运会；奥林匹克运动会；奥运风采
athlete,"n. 运动员, 运动选手
"
compete,"vi. 竞争, 对抗"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
refer to,"v. 查阅；提到
"
track event,n. 径赛项目
field event,田赛
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
hurdling,n. 跳栏赛跑
shot-put,推铅球
discus,"n. 铁饼, 掷铁饼比赛
"
javelin,n. 标枪
marathon,"n. 马拉松, 耐力的考验"
endurance,"n. 忍耐, 忍耐力, 耐性
"
require,"vt. 需要, 命令, 要求
"
a series of,"一系列..., 一批..."
competition,"n. 竞争, 竞赛
"
category,"n. 种类, 类项
"
decathlon,n. 十项运动
all-round,"周围, 四处"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
be equal in,无
in many ways,在许多方面
motto,"n. 箴言, 座右铭, 警句"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
humanity,"n. 人性, 人类, 博爱"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
tutorial,"n. 个别指导, 论文, 学习指南, 指导手册
a. 个别指导的, 家庭教师的, 辅导的
"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
reasonable,"a. 合理的, 明理的, 适当的
"
command of,[网络] 掌握；对…精通；国家需要更多精通英语的人
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
qualified,"a. 有资格的
"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
confidence,"n. 信心
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
make money,"挣钱
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
be forced to, 被迫做某事; 不得已; 迫不得已; 只好
be forced to do something,无
supplementary,"a. 补足的, 补充的, 追加的
"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
video,"n. 影像, 电视
a. 图像的, 电视的"
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
video arcade,n. 电子游戏室
as a result,结果
as a result of,作为结果
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
detective,"n. 侦探
a. 侦探的"
be willing to,愿意(做)...
be willing to do something,无
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
solution,"n. 解决, 解答, 溶液
"
describe ... as,描述为
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
at one's own pace,"按自己的节奏
按自己的节奏（歌名，At One's Own Pace）"
convenient,"a. 方便的, 合宜的
"
be convenient for,"v. 方便
"
degree,"n. 程度, 度数, 学位, 度
"
career,"n. 事业, 生涯, 成功
"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
correspondence,"n. 相符, 通信, 信件
"
correspondence course,n. 函授课程
audio,"a. 音频的, 声音的
"
disc,"n. 圆盘, 唱片
vt. 灌唱片"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
