former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
lecturer,"n. 演讲者, 讲师
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
look one's best,显得比平时漂亮，显得极好看，显示出最好的品质(或状态)
keep fit,"保持健康,健身"
cosmetic surgery,n. 美容外科学，整容手术
regardless of,"不注意, 不关心"
emphasis,"n. 强调, 加强, 重点, 强语气"
obsession,"n. 困扰, 困扰人的情绪
"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
horrendous,"a. 可怕的, 骇人的, 不得了的"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
tribe,"n. 宗族, 部落, 一群人
"
ear lobe, 耳垂
ridiculous,"a. 荒谬的, 可笑的"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
considerable,"a. 相当的, 可观的, 重要的"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
free to do something,无
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
alter,v. 改变
facelift,n. 除去面部皱纹的整容手术
set out,"n. 开始；出发；动身；准备
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
aerobics,n. 有氧运动法；增氧健身法
