hearing,"n. 听, 听觉, 听讯
"
raised,"a. 凸起的, 浮雕的, 发酵的
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
vase,"n. 花瓶, 瓶"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
foggy,"a. 雾深的, 模糊的"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
overcoat,n. 外套大衣
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
nowhere,"adv. 无处, 到处都无"
footstep,"n. 脚步, 脚步声, 足迹"
wherever,adv. 无论哪里
in sight,被看到
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
wish for,"盼望, 企求"
darkness,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
reach out, （使）伸出
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
watch out for,"戒备, 提防, 密切注意"
crossroads,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
anxious,"a. 忧虑的, 发愁的, 渴望的"
firmly,"adv. 坚固, 坚定, 断然"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
helper,"n. 帮忙者, 有益的东西
"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
lorry,"n. 卡车, 货车
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
analyse,"vt. 分析, 细察, 分解
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
distance,"n. 距离, 远方, 遥远
"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
triangle,"n. 三角形, 三个一组, 三角关系
"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
disability,"n. 无力, 无能, 残疾
"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
bull,"n. 公牛
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
jewellery,"n. 宝石, 贵重饰物, 珠宝, 宝石饰物, 受珍视的人/物, 宝贝, 有价值的人/物"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
