opera house,n. 歌剧院
skyscraper,"n. 摩天楼, 三角形天帆"
maple,"n. 枫, 枫木, 淡棕色
"
wilderness,"n. 荒野, 荒地, 大量"
centigrade,"a. 百分度的, 摄氏的
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
countless,"a. 数不尽的, 无数的"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
cross-country,越野赛，横越全国的
photographer,"n. 摄影师, 摄影者"
hunter,"n. 猎人, 猎犬, 追求者"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
multicultural,a. 融合或具有多种文化的；多种文化的
Portugal,n. 葡萄牙
Lebanon,n. 黎巴嫩
historic,"a. 历史上著名的, 有历史性的"
alley,"n. 小路, 巷"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
mall,n. 林荫路
waterfall,n. 瀑布
semicircle,n. 半圆形
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
traveller,"n. 旅行者
"
frontier,"n. 边界, 边境
"
westwards,adv. 向西
seek one's fortune,寻出路
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
syrup,"n. 糖浆, 果汁
"
little more than, 和…无差别[一样]
merchant,"n. 商人, 店主
a. 商业的, 商人的"
cowboy,"n. 牛仔, 牛郎, 牧童"
niece,"n. 侄女, 甥女"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
teamwork,"n. 协同作业, 协力
"
empire,"n. 帝国, 帝权"
seaside,"a. 海边的, 海滨的
n. 海滨"
sidewalk,n. 人行道
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
immigration,"n. 移民, 移居
"
sporting,"a. 喜好运动的, 运动用的, 冒险性的"
ambiguous,"a. 不明确的, 模棱两可的
"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
compulsory,"a. 被强制的, 强迫的, 义务的
"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
pub,"n. 酒馆, 客栈"
pint,"n. 品脱(干量或液量的单位)
"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
unfit,"a. 不适当的, 不胜任的, 不健康的
vt. 使不相宜, 使不合格"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
surfing,n. 冲浪运动
equip,"vt. 装备, 配备
"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
after-school,放学后
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
cricket,"n. 蟋蟀, 板球"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
Pakistan,n. 巴基斯坦
Kenya,n. 肯尼亚
South Africa,南非
considering,"prep. 就...而论
conj. 考虑到"
Colosseum,"n. 罗马圆形大剧场(建于公元80年,耗时5年,至今大部分尚存)"
classical,"a. 古典的, 正统派的, 经典的
"
Angkor Wat,"n. 【旅】吴哥窟
"
Cambodia,n. 柬埔寨
cathedral,n. 大教堂
politics,"n. 政治, 政治学, 政见, 政治活动
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
goddess,"n. 女神, 美女, 受崇拜的女性"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
partly,"adv. 部分地, 在一定程度上"
Turk,"n. 土耳其人, 土耳其马"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
gunpowder,"n. 火药
"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
autonomous,"a. 自治的
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
smog,"n. 烟雾
"
acid rain,酸雨
appoint,"vt. 任命, 指定, 下令
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
site,"n. 位置, 场所, 地点
vt. 给...择址"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
