bookworm,"n. 书呆子, 蛀书虫"
poetry,"n. 诗, 韵文, 诗歌艺术"
drama,"n. 戏剧, 戏剧艺术"
fiction,"n. 小说, 虚构故事
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
novelist,n. 小说家
chapter,"n. 章, 篇, 重要章节
"
opera,n. 歌剧
author,"n. 作家, 作家的著作, 创始人
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
cemetery,"n. 墓地, 公墓
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
civil,"a. 市民的, 公民的, 有礼貌的
"
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
theme,"n. 主题, 话题, 题目"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
painter,"n. 画家, 油漆匠
"
live up to,"实践, 做到"
workhouse,"n. (英)贫民习艺所, 济贫院, (美)感化院, 教养所"
millionaire,"n. 百万富翁, 大富豪
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
threat,"n. 恐吓, 恶兆, 威胁
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
reunite,v. (使)再联合
home-made,家庭制造；家里做的
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
sneaker,"n. 鬼鬼祟祟做事的人, 卑鄙者, 帆布胶底运动鞋"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
worn out, 磨穿; 疲乏
envelope,"n. 信封, 封套, 封袋
"
brand new,"崭新的,全新的"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
attic,"n. 阁楼, 顶楼
"
modern-day,a. 现代的；当代的
stepmother,n. 继母
stepsister,n. 异父(母)姊妹
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
Ireland,n. 爱尔兰
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
Scotland,n. 苏格兰
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
reputation,"n. 名誉, 名声, 声望
"
debt,"n. 债务, 罪过
"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
monument,"n. 纪念碑, 纪念物, 石碑"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
intend,"vt. 计划, 打算, 意思是
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
melodic,"a. 有旋律的, 旋律美妙的"
