comedy,"n. 喜剧, 有趣的事情"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
crosstalk,"[计] 串扰, 串音, 串话"
stand up for,"支持
"
stand-up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
comedian,n. 喜剧演员
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
previous,"a. 早先的, 前面的, 过急的
"
variety,"n. 多样, 种类, 变种, 杂耍
"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
visual,"a. 视觉的
"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
make fun of,取笑
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
performer,"n. 表演者, 执行者, 完成者
"
academy,"n. 学院, 院校, 学会"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
little-known, 不为人知的; 名不见经传
come up with,"赶上, 提出"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
silent film,"默片,无声片"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
amuse,"vt. 消遣, 娱乐, 使发笑"
saying,"n. 叙述, 话, 说, 言论"
cigar,n. 雪茄
bathtub,n. 浴缸
pass away,"去世, 停止, 离去, 消逝"
mourn,"v. 哀悼, 忧伤, 服丧"
fitness,"n. 适合, 合宜, 合理, 恰当, 健康
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
yoga,n. 瑜珈
muscle,"n. 肌肉, 臂力
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
deep-breathing,adj. 深呼吸的
positive,"a. 肯定的, 积极的, 有把握的
"
drive away," 驱车离开; 把…驱开, 赶走; 祛"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
foolishness,n. 愚蠢；可笑
foreigner,"n. 外国人, 外地人
"
instruct,"vt. 教, 教育, 命令, 通知
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
attain,"vt. 达到, 获得
vi. 达到"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
invisible,"a. 看不见的, 无形的
"
bench,"n. 长椅子
"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
make room for,让机会/地位给...
textbook,n. 教科书
cosy,"a. 温暖舒适的
n. 保暖套"
invitation,"n. 邀请, 请柬, 引诱
"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
crowded,"a. 拥挤的, 塞满的"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
armchair,n. 扶手椅
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
official-looking,[网络] 貌似官方的
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
empty-handed,徒手，空手
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
hold out,"na. 伸出；提出；维持；制止
"
