carpenter,n. 木匠
suited,a. 适合的
career,"n. 事业, 生涯, 成功
"
actually,"adv. 事实上, 竟然, 如今, 现在"
so-called,adj. 所谓的
glamorous,"a. 富有魅力的, 迷人的"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
baggage,"n. 行李
"
suitcase,n. 手提箱
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
waiter,n. 侍者
grocer,n. 食品商
option,"n. 选择权, 挑选, 选项
"
lawyer,"n. 律师
"
well-paid, 报酬（或薪金）丰厚的
canyon,"n. 峡谷, 海底悬崖"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
brewery,"n. 啤酒厂, 酿酒厂
"
litre,"n. 升, 公升
"
shopkeeper,"n. 零售商, 店主, 老板"
barber,n. 理发师
barbershop,n. 理发店
cleaner,"n. 清洁工人, 清洁剂, 干洗商
"
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
go about,"从事, 走动, 传开"
salesgirl,n. 女店员
cucumber,"n. 黄瓜
"
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
cast-iron,"铸铁
"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
martial,"a. 战争的, 军事的, 尚武的, 威武的
"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
magician,"n. 魔术家, 幻术家, 术士"
bath,"n. 沐浴, 浴室
"
bedding,"n. 被褥, 寝具, 床上用品, 基床
"
bandage,"n. 绷带
"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
creative,"a. 有创造力的, 创作的, 产生的"
self-confident, [体]自信的
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
greengrocer,"n. 蔬菜水果商, 菜贩"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
investigative,"a. 审查的, 调查的, 好研究的
"
pianist,"n. 钢琴家, 钢琴演奏者"
violinist,"n. 小提琴演奏者, 小提琴家"
librarian,"n. 图书馆员, 图书管理员
"
stewardess,"n. 空中小姐, 女管理人, 女管家"
enterprising,"a. 有魄力的, 有进取心的, 有事业心的"
take pleasure in,乐于
typist,n. 打字员
Ltd,有限的
engineering,"n. 工程学, 工程, 操纵
"
covering,"n. 覆盖物, 掩蔽物
a. 掩护的, 掩盖的
"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
session,"n. 期间, 开庭期, 会议, 学期
"
employer,"n. 雇主, 老板
"
employee,"n. 职员, 员工, 受雇人员
"
interviewer,"n. 会见者, 面谈者, 进行面试者"
off the top of one's head,不假思索
have butterflies in one's stomach,[网络] 感到紧张；肚子里有蝴蝶；忐忑不安
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
razor,"n. 剃刀
vt. 剃"
shaver,"n. 修面的人, 电动剃刀, 刨刀, 杀价买进期票的人, 善于讨价还价的人"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
haircut,"n. 理发, (男子的)发式"
conservative,"a. 保守的, 守旧的, 有保存力的
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
parking,"n. 停车
a. 停车的"
look somebody in the eye,na. 无畏惧
look somebody in the eyes,无
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
follow something up, 紧追，对…进行进一步调查
give somebody the edge,无
punctuation,"n. 标点, 标点符号
"
as easy as pie,极容易
management,"n. 经营, 支配, 管理
"
trainee,"n. 实习生, 新兵, 受培训者
"
smartly,"adv. 潇洒地, 火辣辣地, 刺痛地"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
team player,n. 合作意识强的人；有团队精神的人
response,"n. 反应, 回答, 响应
"
diploma,"n. 文凭, 毕业证书
"
videophone,n. 电视电话
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
fluency,"n. 流畅, 雄辩, 善辩"
CV,"adj. 心血管的
n. 履历
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
Brazil,n. 巴西
Amazon,"n. 亚马孙河
"
Ghana,n. 加纳
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
