friend,"n. 朋友, 支持者, 赞助者
"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
desk,"n. 书桌, 办公桌, 工作台"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
pencil box, 铅笔盒
family,"n. 家庭, 家人, 族
a. 家庭的"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
girl,"n. 女孩, 少女, 女佣"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
schoolbag,n. 书包
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
any,"a. 任何的
pron. 任何"
four,"num. 四, 四个
"
they,"pron. 他们, 它们"
sheep,"n. 羊, 胆小者"
from,"prep. 从, 来自, 根据"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
teacher,"n. 教师, 老师, 导师"
worker,"n. 工人, 劳动者
"
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
or,"conj. 或, 或者
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
eight,"num. 八, 八个"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
