barren,"a. 不育的, 贫瘠的
n. 荒地"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
exert,"vt. 发挥, 运用, 施以影响
"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
oath,"n. 誓约, 誓言, 咒骂
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
regain,"vt. 取回, 恢复, 重回, 复得
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
version,"n. 一种描述, 版本, 译文
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
amiable,"a. 亲切的, 和蔼可亲的
"
ban,"n. 禁令
vt. 禁止, 取缔"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
genuine,"a. 真正的, 真实的, 诚恳的
"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
incorrect,"a. 不正确的
"
massive,"a. 大而重的, 宽大的, 宏伟的
"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
annoy,"vt. 使恼怒, 骚扰"
celebrate,"v. 庆祝, 祝贺, 举行"
diplomat,"n. 外交官, 有外交手腕的人
"
foresee,"vt. 预见, 预知"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
predetermine,"vt. 预先决定, 预先查明
"
prevail,"vi. 获胜, 流行, 盛行
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
transact,"vt. 办理, 处理
vi. 作交易, 谈判"
treason,"n. 叛逆, 不忠, 叛国罪
"
utilize,vt. 利用
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
diploma,"n. 文凭, 毕业证书
"
dramatic,"a. 戏剧性的, 生动的"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
hurrah,"n. 欢呼声, 骚动, 欢乐
v. 欢呼, 呼万岁, 以欢呼迎接
interj. 万岁"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
apparatus,"n. 装置, 器具, 器官
"
assert,"vt. 主张, 坚称, 断言
"
assign,"vt. 分配, 指派, 赋值
"
compensate,"v. 偿还, 补偿, 付报酬"
deem,"v. 认为, 相信"
inviolable,"a. 不可亵渎的, 不可侵犯的, 神圣的
"
specimen,"n. 样品, 标本, 试料
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
tendency,"n. 趋向, 倾向
"
testify,"v. 证明, 作证, 声明, 表明"
tourist,"n. 观光客, 旅行者
a. 旅游的"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
blunt,"a. 钝的, 坦率的, 麻痹的"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
heir,"n. 继承人, 嗣子, 后嗣
"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
