I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
to,"prep. 到, 向, 趋于
adv. 向前"
the,art. 那
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
enough ... to, 足以
my,"pron. 我的
"
uncle,"n. 叔父, 伯父, 姨丈"
has,have的第三人称单数现在式
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
Texas,n. 德克萨斯
you,"pron. 你, 你们"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
be,"v. 是, 表示, 在
"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
by now,到目前为止
am,"be的单数第一人称
"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
of,"prep. 的, 属于"
children,"pl. 孩子, 孩子们"
they,"pron. 他们, 它们"
are,be的现在时复数或第二人称单数
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
these,pron. 这些
day,"n. 天, 日子, 白天, 工作日
"
the days, [电影]冬春的日子
bank,"n. 银行, 堤, 岸
"
is,"be的现在式第三人称
"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
was,be的过去式
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
be sure that ...,"确信..., 肯定..."
several,"a. 几个的, 一些的, 各自的
pron. 几个"
were,be的过去式
afraid,"a. 害怕的, 恐怕的, 遗憾的"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
be afraid of,害怕
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
been,be的过去分词
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
among,prep. 在...之中
student,"n. 学生, 研究者, 学者"
for,"prep. 为, 因为, 至于
conj. 因为
"
year,"n. 年, 年度, 年龄
"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
become,"vi. 变成, 变得
vt. 适合"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
during,prep. 在...的时候
his,"pron. 他的
"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
