symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
ecology,"n. 生态学, 社会生态学
"
circulate,"v. (使)流通, (使)循环, (使)传播"
corpse,"n. 尸体
"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
fingerprint,"n. 指纹
vt. 采指纹"
coincide,"vi. 一致, 符合
"
plumber,"n. 水管工人
"
comprise,"vt. 包含, 构成"
dictation,"n. 听写, 口述, 命令"
amazement,"n. 惊愕, 惊异"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
hypothesis,"n. 假设
"
to one's amazement,使感到惊讶的是
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
lieutenant,"n. 中尉, 助理人员, 副官"
wheelchair,n. 轮椅
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
deafen,"vt. 使聋
vi. 变聋"
optimism,"n. 乐观主义, 乐观, 乐天
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
bankruptcy,"n. 破产者
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
enhance,"vt. 提高, 加强, 增加"
enrich,"vt. 使富足, 使肥沃"
expertise,"n. 专家意见, 专门技术
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
English,[网络] 英语
smog,"n. 烟雾
"
envelop,"vt. 包封, 遮盖, 包围
n. 信封"
soloist,"n. 独奏者, 独唱者"
expressive,"a. 表达的, 富于表情的"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
flake,"n. 小薄片, 扁薄的一层, 火星, 晒鱼架子
vt. 使成薄片
vi. 剥落"
lavatory,"n. 洗脸盆, 厕所"
madly,"adv. 发狂地, 精神失常地, 愚蠢地"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
thunderstorm,n. 雷暴雨
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
indignation,"n. 愤怒, 愤慨, 义愤"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
contradiction,"n. 反驳, 矛盾
"
hush,"n. 肃静, 安静, 沉默
vt. (使)肃静, (使)安静, (使)缄默
interj. 嘘, 别作声"
lecturer,"n. 演讲者, 讲师
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
wintertime,"n. 冬季, 冬天"
prevailing,"a. 盛行很广的, 优势的, 主要的, 普遍的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
a cellphone,无
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
intensify,"vt. 加强
vi. 强化"
an air raid,无
US,[网络] -我们
Japan,"n. 日本
"
intake,"n. 入口, 吸入, 吸入量
"
lengthen,"vt. 加长, 使延长
vi. 变长"
rehabilitation,"n. 复原
"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
recollection,"n. 记忆, 回想, 回忆"
debut,"n. 初次登台, 开张
v. 初次登台"
temporarily,"adv. 暂时, 一时, 临时"
lighten,"vt. 照亮, 点亮, 减轻, 使轻松, 闪出
vi. 发亮, 打闪, 变轻"
nationalize,"vt. 使归化, 使国有化, 使成国家, 使民族化"
miner,"n. 矿工, 开矿机, 坑道工兵
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
appendix,"n. 附录, 附加物, 阑尾
"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
quicken,"vt. 加快, 激发, 使有生气, 鼓舞, 使复活
vi. 加快, 变活跃, 进入胎动期"
apprehension,"n. 理解, 忧惧, 逮捕
"
fig,"n. 无花果, 无价值的东西, 少许, 服装
vt. 打扮, 使马跑快"
ripen,"vt. 使成熟
vi. 成熟"
goldfish,n. 金鱼
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
distributor,"n. 分发者, 分布者, 散布者, 分配者, 销售者, 分配器, 配电盘, 自动拆版机
"
simplify,"vt. 单一化, 简单化"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
metropolis,"n. 大都市, 重要中心, 首府
"
situate,"vt. 使位于, 使处于"
Chicago,"n. 芝加哥
"
Lake Michigan,密歇根湖
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
surpass,"vt. 超越, 凌驾, 胜过"
scandalous,"a. 不体面的, 可耻的, 诽谤性的, 爱传播丑闻的"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
telecommunications,"n. 电信, 通讯, 电信学
"
storehouse,"n. 仓库, 储藏所, 宝库
"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
thicken,"vi. 变浓, 变厚, 变得模糊, 变为复杂
vt. 使变厚, 加强, 使模糊"
lighthouse,n. 灯塔
stationery,"n. 文具, 信纸
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
gardening,n. 园艺(学)
update,"vt. 更新, 使现代化
n. 更新
"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
affirm,"v. 断言, 确认"
continuation,"n. 继续, 续集, 补编
"
drastic,"a. 激烈的
"
financial reform,金融改革
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
allege,"vt. 宣称, 主张, 提出, 断言
"
commissioner,"n. 委员, 理事, 行政长官
"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
be involved in ..., 涉及，专心; 卷入
arrogant,"a. 自大的, 傲慢的"
deceitful,a. 欺诈的
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
creditor,"n. 债权人
"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
beware,"v. 小心, 谨防"
pathway,"n. 路径, 途径
"
tram,"n. 电车轨道, 煤车, 纬纱, 纬丝
vt. 用煤车运载
vi. 乘电车"
chatter,"n. 饶舌, 啁啾, 喋喋不休
vi. 喋喋不休地谈, (鸟)啭鸣"
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
constitutional,"a. 宪法的, 立宪的, 体质的
"
dean,"n. 院长, 主持牧师
"
commend,"vt. 嘉奖, 委托给, 推荐"
superb,"a. 极度的, 华丽的, 极好的"
thesis,"n. 论题, 论文"
predecessor,"n. 前任, 先辈, 前身
"
concede,"vt. 承认, 退让
vi. 让步"
statistical,"a. 统计的, 统计上的, 统计学的
"
falsehood,"n. 谎言, 虚假(性)
"
confer,"vt. 授予, 带来
vi. 协商"
treasurer,"n. 会计, 出纳员, 司库
"
fiscal,"a. 财政的, 国库的
"
confide,"vt. 吐露, 委托
vi. 信赖"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
dissatisfied,"a. 不满的, 显出不满的"
pastor,n. 牧师
console,"vt. 安慰, 藉慰
n. 控制台
"
sorrowful,a. 悲伤的
formulate,"vt. 用公式表示, 明确叙述, 制订
"
amendment,"n. 修订, 改善, 改良, 改正
"
grumble,"n. 怨言, 满腹牢骚
vi. 抱怨, 发牢骚, 发隆隆声
vt. 抱怨"
annoyance,"n. 烦恼, 打扰, 可厌之事
"
utensil,"n. 器皿, 用具"
disciple,"n. 弟子, 门徒"
implore,"vt. 恳求, 哀求"
doctrine,"n. 教条, 学说
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
trustee,"n. 受托人, 理事
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
dissatisfaction,"n. 不满, 不平"
unskilled,"a. 无(特殊)技能的, 不熟练的, 拙劣的"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
unpredictable,a. 不可预知的
perplex,"vt. 使困惑, 使复杂化, 使为难
"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
civic,"a. 市的, 市民的, 公民的
"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
foe,"n. 仇敌, 反对者, 敌人, 对手"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
folklore,"n. 民俗学, 民间风俗, 民间传说"
TV,"n. 电视；电视机
abbr. (=television)
"
television,"n. 电视
"
slant,"n. 倾斜, 斜面, 观点, 偏见, 歪曲
a. 倾斜的
v. (使)倾斜"
botanical,"a. 植物学的
n. 植物性药材"
sensational,"a. 使人感动的, 非常好的"
testify,"v. 证明, 作证, 声明, 表明"
commuter,"n. 乘公共车辆上下班者, 月季票乘客
"
a commuter train,无
bulletin,"n. 公告, 布告, 公报
"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
disbelief,"n. 不信, 怀疑"
a bulletin board,无
chime,"n. 钟声, 钟, 和谐
vi. 鸣, 奏出谐和的乐声, 和谐
vt. 敲出和谐的声音, 打钟报时, 重复说"
brunch,n. 早午餐
chuckle,"n. 咯咯的笑声, 轻笑
vi. 咯咯的笑, 咕咕叫"
bridegroom,n. 新郎
witty,"a. 富于机智的, 诙谐的"
hoof,"n. 蹄, (人的)脚
vt. 以蹄踢, 行走, 步行
vi. 走, 踢, 踏"
clatter,"n. 咔嗒声, 哗啦声, 嘈杂的谈笑声
vi. 发出哗啦声, 喧闹的谈笑
vt. 使咔嗒咔嗒地响"
desolate,a. 荒凉的
curly,"a. 拳曲的, 卷毛的, 弯曲的"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
bouquet,"n. 花束
"
a bouquet of flowers,无
serpent,"n. 巨蛇座, 蛇, 蛇形管, 狡猾的人"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
bough,n. 大树枝
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
devour,"vt. 吞食, 挥霍, 吞没"
hare,"n. 野兔
vi. 飞跑"
appliance,"n. 器械, 用具, 应用
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
elevate,"vt. 举起, 提拔, 鼓舞"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
sweetie,"n. 情人, 爱人, 甜食"
mansion,"n. 大厦, 宅邸"
tedious,"a. 沉闷的, 冗长乏味的"
campaigner,"n. 从军者, 老兵, 竞选者"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
outing,"n. 郊游, 远足
a. 远足适用的"
gargle,"vt. 漱
vi. 漱口
n. 漱口药"
detergent,"n. 清洁剂
"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
superstition,"n. 迷信
"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
horseshoe,"n. 马蹄铁
vt. 装蹄铁于"
brute,"n. 畜生, 残忍或好色之人
a. 残忍的, 无理性的, 畜生的"
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
keep away from ...,(使)远离，(使)不接近；(使)不在
chick,"n. 小鸡, 小鸟, 竹帘"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
lifeboat,n. 救生艇
ashore,"adv. 向岸, 在岸上"
thicket,"n. 丛林, 草丛"
hiss,"n. 嘘声, 嘶嘶声
vi. 发出嘘声, 发嘶嘶声
vt. 发嘶嘶声表示"
creep out from ...,无
barricade,"n. 路障, 障碍
vt. 设路障于, 阻碍"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
riot police,"防暴警察
"
jockey,"n. 赛马骑师, 驾驶员, 操作工
vt. 骗, 瞒, 驾驶, 移动
vi. 当赛马的骑师"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
"... , but to no avail.",无
splendor,"n. 光辉, 壮丽, 显赫"
maple,"n. 枫, 枫木, 淡棕色
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
misplace,vt. 放错地方
had better do ..., 最好（做）
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
coastal,"a. 海岸的, 沿海的, 沿岸的
"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
watering,"n. 洒水, 冲淡, 搀水, 供水, 浇水, 灌溉, 排水渠
"
do the watering,无
wanderer,"n. 漫游者, 流浪者, 徘徊者"
reappear,vi. 再出现
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
recite,"v. 背诵, 朗读, 叙述"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
rustle,"n. 沙沙声, 瑟瑟声, 飒飒声, 急忙
vi. 发出沙沙声
vt. 使飒飒作响"
footpath,"n. 步道, 人行道, 小路"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
illumination,"n. 照明, 阐明, 启发
"
shrug,"n. 耸肩
v. 耸肩"
abandonment,"n. 放弃, 抛弃, 放纵
"
antarctic,"a. 南极的, 南极地带的
n. 南极地区"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
sherry,"n. 雪利酒, 葡萄酒"
horoscope,"n. 星占, 算命天宫图"
plump,"a. 圆胖的, 丰满的, 直接下落的, 直率的
vt. 突然放下, 支持, 使丰满, 使鼓起
vi. 扑通落下, 投票赞成, 变丰满, 鼓起
adv. 沉重地, 突然地, 直截了当地"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
snore,"n. 鼾声, 打鼾
vi. 打鼾
vt. 打鼾度过"
lorry,"n. 卡车, 货车
"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
parsley,"n. 皱叶欧芹, 荷兰芹
"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
tumble,"n. 跌倒, 摔跤, 翻斤斗
vi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动
vt. 使摔倒, 使滚翻, 弄乱"
exhausting,"a. 使耗尽的, 使人筋疲力尽的
"
sleep like a log,熟睡
sleeper,"n. 睡眠者, 枕木, 卧铺
"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
so ... that ...,所以
