finale,"n. 结局, 最后乐章, 终曲"
heading,"n. 标题, 起始字, 方向
"
vigor,"n. 精力, 活力"
scarcity,"n. 缺乏, 不足, 缺少
"
darkened,"v. 变暗, 转黑"
stiffen,"vt. 使变硬, 使僵硬, 使顽强, 使严厉
vi. 变粘, 变硬, 变强烈"
quarry,"n. 采石场, 方形石, 猎物, 被追求物, 来源
vt. 挖出, 努力挖掘
vi. 费力地找"
pediatrician,"n. 儿科医生, 儿科专家
"
uninsured,"a. 未保过险的
"
incompetent,"a. 无能力的, 无资格的, 机能不全的, 不胜任的
n. 无能力者"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
leftover,"n. 剩货, 残留物, 剩饭
a. 残余的"
mahogany,"n. 桃花心木, 红褐色
"
publicize,vt. 宣传
drizzle,"n. 细雨
v. 下毛毛雨"
wallpaper,"n. 壁纸, 墙纸
v. 贴墙纸
"
fatality,"n. 不幸, 厄运, 致命性, 死亡者, 厄运, 天命"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
obscene,"a. 淫秽的, 猥亵的, 讨人厌的, 可憎的
"
visibly,"adv. 看得见地, 明显地, 明白地"
oxide,"n. 氧化物
"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
coercion,"n. 强迫, 威压, 高压统治
"
locale,"n. 现场, 场所
"
reimbursement,"n. 付还, 退还
"
diocese,n. 主教教区
tracking,"[计] 跟踪, 追踪"
ventilation,"n. 通风, 空气流通, 公开讨论
"
ensuing,a. 接著发生的
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
manure,"n. 肥料, 粪肥
vt. 施肥于"
bidding,"n. 命令, 邀请, 出价
"
tenet,"n. 信条, 教义, 宗旨, 原则"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
longitudinal,"a. 经度的, 经线的, 纵的
"
cynicism,n. 犬儒主义
ethnographic,a. 人种志的
good-looking,"貌美的,漂亮的"
affirmation,"n. 肯定, 断言, 证实
"
combustion,"n. 燃烧, 骚动
"
inviting,"a. 引人动心的, 有魅力的
"
rustic,"n. 乡下人, 乡巴佬
a. 乡村的, 纯朴的, 手工粗糙的"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
invader,"n. 侵略者
"
holistic,
light-year,n. 光年
discrete,"a. 不连续的, 离散的
"
straddle,"n. 跨坐, 观望
v. 跨坐, 两腿叉开坐, 观望"
mantle,"n. 斗篷, 罩子, 披风
vt. 罩住, 覆盖
vi. 覆盖, 脸红"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
aggravate,"vt. 使恶化, 使更严重, 加重"
Norwegian,"n. 挪威人, 挪威语
a. 挪威的, 挪威人的, 挪威语的"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
insanity,"n. 疯狂, 愚顽, 精神错乱
"
consulting,"a. 商议的, 咨询的, 任专职顾问的"
exaggerated,"a. 夸大的, 夸张的, 言过其实的"
cornerstone,"n. 奠基石, 基础"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
seductive,"a. 诱惑的, 引人注意的, 有魅力的"
luncheon,"n. 午宴, 午餐会"
called,a. 被呼叫的
problem-solving,[计] 问题求解
wreath,"n. 花圈, 花环, 圈状物
"
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
troublesome,"a. 麻烦的, 令人讨厌的"
enclosure,"n. 附件, 围墙, 围绕
"
disposable,"a. 可任意处理的
"
