actual,"a. 真实的, 实际的, 现行的
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activity,"n. 活动, 行动, 活跃, 活力
"
inactive,"a. 不活动的, 停止的, 怠惰的, 闲置的
"
radioactive,"a. 放射性的, 有放射能的
"
actor,"n. 男演员, 行动者
"
actress,n. 女演员
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
transact,"vt. 办理, 处理
vi. 作交易, 谈判"
transaction,"n. 交易, 办理, 学报, 和解协议
"
react,"vi. 起反应, 起作用, 反攻
"
reaction,"n. 反应, 反作用, 反动
"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"n. 交互作用, 交感
"
agenda,"pl. 议程, 日常工作事项
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
agency,"n. 代理机构, 经销商, 中介
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
agony,"n. 极大的痛苦, 挣扎
"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
baggage,"n. 行李
"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
dragon,"n. 龙, 凶暴的人
"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
air-conditioning,"用空调设备调节空气, 空调设备
"
aircraft,"n. 航空器, 飞机
"
airline,"n. 航线, 航线的设备, 航空公司"
airport,"n. 飞机场
"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
fairy,"n. 仙女, 精灵
a. 仙女的"
affair,"n. 事件, 事务, 恋爱事件"
hair,"n. 头发, 毛发, 些微
"
pair,"n. 一双, 一对, 一副
v. (使)成对"
despair,"n. 绝望, 失望
vi. 绝望"
impair,"vt. 损害, 减少, 削弱
"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
stair,"n. 梯级, 楼梯, 阶梯"
downstairs,"n. 楼下
a. 楼下的
adv. 在楼下"
staircase,"n. 楼梯, 梯子, 楼梯部分
"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
anybody,"pron. 任何人
n. 重要人物"
anyhow,"adv. 无论如何, 至少"
anyone,pron. 任何人
anything,pron. 任何事
anyway,"adv. 无论如何, 至少"
anywhere,adv. 无论何处
animal,"n. 动物
"
unanimous,"a. 意见一致的, 无异议的"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
throne,"n. 王座, 君主"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
colony,"n. 殖民地, 移民队
"
colonel,"n. 陆军上校, 长官"
colonial,"a. 殖民的, 殖民地的
"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
wholly,"adv. 完全地, 整个, 统统, 全部
"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
artery,"n. 动脉, 干道, 要道
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
artificial,"a. 人造的, 假的, 非原地产的
"
artist,"n. 艺术家, 画家"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
chart,"n. 图表, 海图
vt. 制成图表
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
quart,"n. 夸脱
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
quarterly,"a. 季度的, 按季度的, 每季的
adv. 按季, 每三个月, 每季一次
n. 季刊"
headquarters,"n. 总部, 司令部, 总部人员
"
quartz,"n. 石英
"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
