administration,"n. 行政, 管理, 政府机关
"
axis,"n. 轴
"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
burnt,burn的过去式和过去分词
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
census,"n. 户口普查
vt. 实施统计调查"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
citizen,"n. 市民, 公民
"
civilization,"n. 文明, 教化
"
civilize,"vt. 使开化, 使文明
vi. 变文明"
classical,"a. 古典的, 正统派的, 经典的
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
cultivate,"vt. 培养, 耕作"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
despatch,"v. 派遣
n. 派遣"
dispatch,"vt. 派遣
n. 派遣, 急件
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
drawing,"n. 图画, 制图, 拉
"
edition,"n. 版本, 版, 翻版"
encyclopedia,n. 百科全书
entry,"n. 登录, 条目, 进入, 入口, 报关
"
epoch,"n. 新纪元, 时代, 时期"
equator,"n. 赤道
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
examiner,"n. 检查人, 审查人, 主考者
"
expertise,"n. 专家意见, 专门技术
"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
geography,"n. 地理学, 地理
"
geology,"n. 地质学, 地质情况"
geometry,"n. 几何学
"
heading,"n. 标题, 起始字, 方向
"
historian,"n. 历史学家, 记事者"
humanity,"n. 人性, 人类, 博爱"
idiom,"n. 习语, 成语, 惯用语法, 方言"
informational,"a. 信息的, 情报的, 提供消息的, 介绍情况的, 提供情报的
"
journal,"n. 日记, 杂志, 日报
"
journalism,"n. 新闻业, 报章杂志
"
kinship,"n. 亲属关系
"
landlady,"n. 女房东, 女地主"
legend,"n. 传说, 传奇文学, 图例
"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
maid,"n. 少女, 未婚女子, 女仆"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
mankind,"n. 人类, 男性"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
married,"a. 已婚的, 婚姻的
"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
mistress,"n. 主妇, 女主人, 情妇"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
morality,"n. 道德, 教训, 品行
"
mystery,"n. 秘密, 神秘, 奥秘"
myth,"n. 神话, 虚构的事, 虚构的人"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
parent,"n. 父母, 父母亲, 根源
"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
persona,"n. 人, 人物, 角色, 外表印象, 人格面具
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
poem,"n. 诗, 诗般美的事物"
poetry,"n. 诗, 韵文, 诗歌艺术"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
policeman,"n. 警察
"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
population,"n. 人口, 人口数
"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
poverty,"n. 贫穷, 贫困, 缺乏
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
princess,"n. 公主, 王妃, 女巨头"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
privacy,"n. 隐私, 隐居, 秘密
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
pub,"n. 酒馆, 客栈"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
publication,"n. 出版物, 出版, 公布
"
publicity,"n. 名声, 宣传, 公开场合
"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
racial,"a. 人种的, 种族的
"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
rural,"a. 乡下的, 田园的, 乡村风味的
"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
slum,"n. 贫民窟
vi. 访问贫民区"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
sociology,"n. 社会学
"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
status,"n. 状态, 情形, 地位, 要人身份
"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
stranger,"n. 陌生人, 门外汉
"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
subjective,"a. 主观的, 个人的
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
sword,"n. 刀, 剑, 战争, 武力, 剑状物"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
tan,"n. 黄褐色, 鞣料, 马戏团
a. 黄褐色的, 鞣皮的
vi. 晒成棕褐色
vt. 把...晒黑, 鞣(革), 狠狠鞭打"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
tradition,"n. 传说, 传统, 交付
"
tribe,"n. 宗族, 部落, 一群人
"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
village,"n. 村庄
a. 乡村的, 村庄的"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
wife,"n. 妻子, 太太, 夫人
"
writing,"n. 书写, 著作, 笔迹, 作品
"
youngster,"n. 小孩, 年轻人, 少年
"
youth,"n. 年轻, 青年时代, 青年们, 青春
"
alliance,"n. 联盟, 联合
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
ambassador,"n. 大使
"
assassinate,"vt. 暗杀, 行刺
"
assembly,"n. 与会者, 集会, 装配, 组件
"
assert,"vt. 主张, 坚称, 断言
"
association,"n. 协会
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
autonomy,"n. 自治, 自治权
"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
banner,"n. 旗帜
a. 显著的, 特别好的"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
boundary,"n. 边界, 分界线
"
boycott,"n. 联合抵制
vt. 联合抵制"
bulletin,"n. 公告, 布告, 公报
"
bureau,"n. 局, 办公处
"
bureaucracy,"n. 官僚, 官吏
"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
candidate,"n. 候选人, 投考者
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
ceremony,"n. 典礼, 仪式, 礼节
"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
coalition,"n. 结合体, 结合, 联合
"
collaborate,"vi. 合作, 勾结
"
combination,"n. 组合, 合并, 联合
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
committee,"n. 委员会
"
commonwealth,n. 共和国；联邦；国民整体
communism,n. 共产主义
community,"n. 社区, 公众, 共有, 共同体
"
congress,"n. 国会, 会议, 讨论会
"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
convention,"n. 大会, 协定, 惯例, 约定
"
conversational,"a. 会话的, 对话的, 健谈的
"
corporation,"n. 公司, 合作, 法人团体
"
correspondent,"n. 通讯记者, 通信者
"
council,"n. 会议, 委员会
"
criticize,"v. 批评, 吹毛求疵, 非难"
declaration,"n. 宣告, 说明, 宣布
"
declare,"v. 宣布, 声明, 申报, 断言"
democracy,"n. 民主政治, 民主主义
"
democratic,"a. 民主的
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
diplomatic,"a. 外交的, 老练的
"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
dominant,"a. 占优势的, 支配的
"
dominate,"v. 支配, 占优势"
dynasty,"n. 朝代, 王朝"
electronic,"a. 电子的
"
empire,"n. 帝国, 帝权"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
federation,"n. 联邦, 联合, 联盟
"
forceful,"a. 有力的, 强烈的, 有说服力的"
govern,"v. 统治, 支配, 管理"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
kingdom,"n. 王国, 领域
"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
magistrate,"n. 长官, 法官, 推事
"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
manoeuvre,"n. 调遣, 演习, 策略
vi. 调动, 演习, 用策略
vt. 调动, 操纵"
mayor,"n. 市长
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
municipal,"a. 市政的, 自治区的, 内政的
"
nation,"n. 国家, 民族
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
nationality,"n. 国籍, 国家, 民族性
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
parliament,"n. 国会, 议会
"
policy,"n. 政策, 方针, 策略, 保险单
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
powerful,"a. 有力的, 有权力的, 强大的
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
realm,"n. 王国, 领土, 领域
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
republic,"n. 共和国, 共和政体, 团体, 界"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
salvation,"n. 拯救, 救助, 救世"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
secretary,"n. 秘书, 书记, 大臣
"
senate,"n. 参议院, 立法机构, 评议会"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
strategy,"n. 战略, 策略
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
throne,"n. 王座, 君主"
accountant,"n. 会计人员, 会计师
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
artery,"n. 动脉, 干道, 要道
"
assess,"vt. 估定, 对...征税, 评定
"
asset,"n. 资产, 有益的东西"
auditor,"n. 审计员, 听者, 旁听生
"
banker,"n. 银行家, 庄家
"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
bonus,"n. 奖金, 红利
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
briefcase,n. 公事包
brochure,"n. 小册子, 小册"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
cashier,"n. 出纳员
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
colleague,"n. 同事, 同僚"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
coupon,"n. 息票, 赠券
"
credential,"n. 国书, 凭据, 证明书
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
currency,"n. 货币, 通货, 流通, 通用
"
dealer,"n. 经销商, 商人
"
deficit,"n. 赤字, 不足额
"
economics,"n. 经济学
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
inflation,"n. 胀大, 夸张, 通货膨胀
"
investment,"n. 投资
"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
liability,"n. 责任, 债务, 倾向
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
monetary,"a. 货币的, 金钱的
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
option,"n. 选择权, 挑选, 选项
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
output,"n. 输出, 产品, 产量
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
owing,"a. 未付的, 亏欠的, 受惠的, 归因于...的
"
owner,"n. 拥有者, 物主, 所有人
"
ownership,"n. 所有权, 物主身份
"
patron,"n. 赞助人, 顾客, 保护人
"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
