evident,"a. 显然的, 明显的"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
visual,"a. 视觉的
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
invisible,"a. 看不见的, 无形的
"
envision,"vt. 想象, 预想"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
supervise,"v. 监督, 管理, 指导"
supervisor,"n. 管理者, 监督者, 指导者, 视导员
"
envisage,"vt. 面对, 正视, 想象"
spectator,"n. 观众, 目击者, 旁观者"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
respectful,"a. 表示尊敬的, 有礼貌的, 谦恭的"
respective,"a. 分别的, 各自的"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
despise,vt. 轻视
despicable,"a. 可鄙的, 卑劣的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
foresee,"vt. 预见, 预知"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
aspect,"n. 外观, 方面, 面貌, 方向
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
investigate,"v. 调查, 审查"
insight,"n. 察看, 洞察力, 见识
"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
speculate,"vi. 深思, 推测, 投机
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
conspicuous,"a. 显著的, 显眼的, 出众的"
