technology,"n. 技术, 工业技术, 术语
"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
researcher,n. 研究人员
economy,"n. 经济, 理财, 节约
"
climate,"n. 气候, 社会趋势, 气候区
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
product,"n. 产品, 结果, 乘积
"
poverty,"n. 贫穷, 贫困, 缺乏
"
require,"vt. 需要, 命令, 要求
"
environmental,"a. 周围的, 环境的
"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
management,"n. 经营, 支配, 管理
"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
reality,"n. 实在, 事实, 实体, 逼真
"
cultural,"a. 文化的, 教养的, 修养的
"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
athletic,a. 运动的
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
incentive,"n. 动机
a. 激励的"
racial,"a. 人种的, 种族的
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
employer,"n. 雇主, 老板
"
improvement,"n. 进步, 改善, 利用
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
currently,"adv. 现在, 当前, 一般, 普通
"
elite,"n. 精华, 精锐, 中坚分子"
poetry,"n. 诗, 韵文, 诗歌艺术"
accelerate,"v. 加速, 促进"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
momentum,"n. 动力, 动量
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
declare,"v. 宣布, 声明, 申报, 断言"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
percentage,"n. 百分比, 比率, 部分, 可能性
"
disaster,"n. 灾祸, 不幸, 彻底失败"
diversity,"n. 差异, 多样性
"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
agricultural,"a. 农业的
"
immigration,"n. 移民, 移居
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
technological,"a. 技术的
"
admission,"n. 准许进入, 入场费, 录用, 承认
"
battery,"n. 电池, 殴打
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
effectively,"adv. 有效地, 有力地, 实际上"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
necessarily,"adv. 必然地, 必须地, 必要地"
