abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
antonym,n. 反义词
antiwar,"a. 反战的
"
antibody,"n. 抗体
"
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
antiaircraft,a. 防空的
bewilder,"vt. 使迷惑, 使不知所措"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
belittle,"vt. 轻视, 贬低"
beneath,"prep. 在...下方
adv. 在...下方"
bicycle,n. 自行车
biannual,"a. 一年两次的
"
biweekly,"n. 双周刊
a. 两周一次的, 每周二次的
adv. 每两周一次地, 每周二次地"
bystander,"n. 旁观者, 目击者
"
byproduct,n. 副产品
byword,"n. 谚语, 俗话, 笑柄"
bywork,n. 业余工作
cooperate,"vi. 合作, 协力, 配合
"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
coaction,"n. 强制, 共同的行动"
collocate,"vt. 布置, 使成搭配, 排列"
compassion,"n. 同情, 怜悯"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
corroborate,"vt. 巩固, 确证
"
compatriot,"n. 同国人
a. 同国的, 同胞的"
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
decode,"vt. 解码, 译解
"
destruction,"n. 破坏, 毁灭
"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
deforest,"vt. 滥伐森林, 砍掉...上的树林"
depopulation,[经] 人口下降
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
difficult,a. 困难的
diffluence,"n. 分流, 溶解
"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
distract,"vt. 转移, 分心, 使发狂"
disappear,"vi. 消失, 不见"
discourage,"vt. 使气馁, 阻碍"
ecology,"n. 生态学, 社会生态学
"
economy,"n. 经济, 理财, 节约
"
ecotourism,n. 生态旅游
economic,"a. 经济上的, 实用的, 节省的
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
embody,"vt. 具体表达, 使具体化
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
empower,"vt. 授予权力, 允许, 使能够
"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
ex-wife,n. 前妻
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
ex-president,n. 前总统
extraordinary,"a. 非常的, 特别的, 非凡的
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extracurricular,"a. 课外的, 业余的"
foresee,"vt. 预见, 预知"
foreword,"n. 前言, 序"
foreshadow,"vt. 成为前兆, 预示"
illegal,"a. 违法的, 不合规定的
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illogical,"a. 不合逻辑的, 无缘由的
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
inability,"n. 无能, 无力"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
"
include,"vt. 包括, 把...算入, 包住
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
infect,"vt. 传染, 感染
"
immobile,"a. 不动的, 不变的, 固定的, 静止的"
incorrect,"a. 不正确的
"
international,"a. 国际的
n. 国别设定
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interstellar,a. 星际的
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
intracity,a. 市内的
intrapersonal,"a. 个人头脑中的,内心的"
intranet,n. [计]内联网；企业内部网
introduce,"vt. 介绍, 引入, 采用, 输入
"
introspect,"vt.vi. 进行反省
"
introvert,"n. 个性内向者
vt. 使内向, 使内弯, 内陷
vi. 内省, 内弯
a. 性格内向的"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
irreplaceable,"a. 不能调换的, 不能代替的
"
irruption,"n. 侵入, 闯进, 激剧繁殖"
kilogram,"n. 千克, 公斤
"
kilometer,"n. 千米, 公里
"
kilobyte,[计] 千字节
macroscale,"n. 大规模, 宏观尺度"
macroeconomics,"n. 整体经济学, 宏观经济学
"
macrostructure,"n. 宏观结构
"
malnutrition,"n. 营养失调, 营养不良
"
malevolent,"a. 有恶意的, 坏心肠的"
malignant,"a. 有恶意的, 恶性的, 有害的
"
malefaction,"n. 罪行, 罪恶
"
malcontent,"a. 抱不平的, 不满的, 不服的
n. 不满现状的人"
microphone,"n. 扩音器, 麦克风
"
microwave,"n. 微波
"
microworld,微观世界
misunderstand,"vt. 误解, 误会"
misfortune,"n. 不幸, 灾祸, 坏运气
"
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
multimedia,"n. 多媒体
"
multiangular,a. 多角的
multilingual,a. 多语言的
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
nonstop,"a. 直达的, 不着陆的, 不休息的
adv. 不休息地
n. 直达车, 直达行驶"
nonviolent,a. 非暴力的
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
outbreak,"n. 爆发, 暴动
"
outperform,vt. 胜过；做得比……好
outflow,"n. 流出, 流出物
"
overcrowded,"a. 挤满的; 过度拥挤的
v. 拥挤(overcrowd的过去式和过去分词)"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
overpower,"vt. 击败, 打胜, 克服"
overburden,"vt. 装载过多, 负担过多, 使过劳
"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
postmodern,a. 后现代的
postwar,a. 战后的
predict,"v. 预知, 预言, 预报"
prewar,"a. 战前的
adv. 在战前"
prepay,"vt. 先付, 预付, 预缴
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
pronoun,n. 代词
prolong,"vt. 延长, 拖延, 拖长
"
pro-consul,n. （古罗马）地方总督；（英）殖民地总督
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
rearrange,"vt. 再排列, 重新整理
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
"
stepmother,n. 继母
stepchild,"n. 前夫(或前妻)所生子女
"
stepbrother,"n. 异父(母)兄弟
"
subway,"n. 地铁, 地道
vi. 乘地铁"
subtropics,n. 亚热带
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
subeditor,"n. 副编辑, 助理编辑"
superpower,"n. 超级强权, 超级大国
"
supernutrition,n. 营养过多(剩)
superiority,"n. 优越, 高傲
"
supersonic,"a. 超声波的
"
supervise,"v. 监督, 管理, 指导"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
surpass,"vt. 超越, 凌驾, 胜过"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
transparent,"a. 透明的, 显然的, 清晰的
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transfrontier,"a. 在国境外的, 在国境外做的, 在国境外生活的"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
ultraliberal,a. (尤指政治上)极端自由主义的
ultraviolet,"a. 紫外线的
"
ultrapure,a. 超纯的
ultracritical,"a. 过于批评的, 吹毛求疵的"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
unacceptable,"a. 无法接受的, 不受欢迎的
"
unpack,"vt. 从包裹中取出, 卸下, 打开
vi. 打开包裹
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
underestimate,"n. 低估
vt. 低估, 看轻"
underofficer,vt.使官员配备不足
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
underdeveloped,"a. 开发不充分的, 不发达的, 发育不全的"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
uproot,"vt. 连根拔起, 根除"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
vice-president,"副总裁, 副总统
"
vice-chairman,"n. 副主席, 副会长, 副委员长, 副议长"
vice-manager, 副经理
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
withstand,"vt. 抵住, 顶住, 经得起"
dependability,"n. 可信任性, 可靠性"
sensibility,"n. 感性, 感觉, 情感
"
variability,"n. 易变, 变化性, 变异性
"
resistibility,"n. 可抵抗性, 抵抗力"
comparable,"a. 可比较的, 比得上的"
credible,"a. 可信的, 可靠的
"
desirable,"a. 令人想望的, 可取的"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
notably,"adv. 显著地, 著名地, 尤其, 特别"
dishonourably,adv. 不光彩
reasonably,"adv. 适度地, 相当地"
beverage,"n. 饮料
"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
bandage,"n. 绷带
"
spoilage,"n. 变质, 糟蹋, 损耗, 损坏
"
emotional,"a. 情绪的, 情感的
"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
hospital,"n. 医院
"
exceptional,"a. 例外的, 异常的, 特别的"
appraisal,"n. 评价, 估价
"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
artisan,"n. 工匠, 技工
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
disturbance,"n. 扰乱, 不安, 忧虑
"
vacancy,"n. 空, 空白, 空缺, 空虚, 空闲
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
compliancy,"n. 依从, 顺从"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
accountant,"n. 会计人员, 会计师
"
stimulant,"a. 兴奋性的, 激励的, 鼓舞的
n. 兴奋剂, 酒精饮料"
