abolish,"vt. 废止, 革除, 消灭
"
abolishment,"n. 废止, 革除, 消灭
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activity,"n. 活动, 行动, 活跃, 活力
"
activist,n. 激进主义分子
enact,"vt. 制定法律, 扮演, 颁布
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
advantageous,"a. 有利的, 有益的"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
agenda,"pl. 议程, 日常工作事项
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
agitation,"n. 激动, 焦虑, 煽动, 搅动, 摇动
"
agony,"n. 极大的痛苦, 挣扎
"
album,"n. 粘贴簿, 唱片套
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
alienate,"vt. 使疏远, 离间, 转让
"
alienation,"n. 疏远, 离间, 转让
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
amiable,"a. 亲切的, 和蔼可亲的
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
ambiguous,"a. 不明确的, 模棱两可的
"
ample,"a. 大量的, 充足的, 丰富的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
amplification,"n. 扩大, 放大
"
amplitude,"n. 广阔, 充足, 幅度
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
triangular,"a. 三角形的, 三人间的
"
triangularity,n. 成三角形
rectangular,"a. 成直角的
"
rectangle,"n. 长方形, 矩形
"
unanimous,"a. 意见一致的, 无异议的"
anniversary,n. 周年纪念
annually,"adv. 一年一次, 每年
"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
arbitrariness,"n. 任意, 武断, 专断, 反复无常"
arc,"n. 弧, 弧形, 弓形, 弧光
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
monarch,"n. 帝王, 统治者, 元首
"
monarchical,"a. 君主的, 君主政体的, 君主政治的"
