abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
ablaze,"a. 着火的, 闪亮的, 激昂的
adv. 着火, 闪耀"
abort,"vi. 流产, 中途失败
vt. 使流产, 使失败, 使中止"
abrasion,"n. 磨擦, 磨损, 磨损处
"
absenteeism,"n. 经常无故缺席, 旷职, 旷工, 旷课
"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
abut,"v. 邻接, 毗邻"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
accredit,"vt. 信托, 确认, 归结于, 委派
"
acronym,"n. 首字母缩拼词, 首字母组合词
"
actual,"a. 真实的, 实际的, 现行的
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
adobe,"n. 风干土坯
"
adorn,"vt. 装饰, 使生色"
advisable,"a. 适当的, 明智的"
affinity,"n. 吸引, 姻亲关系, 类同
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
agile,"a. 敏捷的, 灵活的, 机敏的"
ailment,"n. 病痛, 疾病
"
ajar,"a. 微开的, 半开的, 不和谐的
adv. 微开, 半开, 不协调地"
akin,"a. 同类的, 同族的, 同源的"
alignment,"n. 队列, 结盟, 校正
"
allegory,n. 寓言
alliteration,"n. 头韵
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
allude,"vi. 暗指, 提及"
aloft,"adv. 在高处, 在上"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
altitude,"n. 高度, 海拔, 高处
"
ambience,"n. 周围环境, 气氛"
ambivalent,"a. 矛盾的, 模棱两可的
"
amble,"n. 马的缓行步态, 缓行漫步
vi. 马缓行, 从容漫步"
amenable,"a. 服从的, 会接纳的, 有义务的
"
amenity,"n. 便利设施, 适意, 礼仪
"
amid,"prep. 在其间, 在其中
"
amnesia,"n. 健忘症, 记忆缺失
"
anarchist,"n. 无政府主义者
"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
anecdote,"n. 轶事, 奇闻"
anesthesia,"n. 麻醉, 麻木
"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
annihilate,"vt. 消灭, 废止"
anniversary,n. 周年纪念
anomaly,"n. 不规则, 反常事物, 畸形
"
anthem,"n. 圣歌, 赞美诗"
anthology,"n. 选集, 诗选"
antibiotic,"n. 抗生素
a. 抗生的"
antiquated,"a. 陈旧的, 过时的, 年老的"
antiseptic,"n. 抗菌剂, 防腐剂
a. 抗菌的, 防腐的"
apparatus,"n. 装置, 器具, 器官
"
apportion,"vt. 分配, 分摊, 分派
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
arboreal,"a. 树的, 栖于树木的
"
ardent,"a. 热心的, 激动的, 燃烧般的
"
arduous,"a. 费力的, 努力的, 险峻的"
arid,"a. 干燥的, 不毛的"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
armory,"n. 纹章, 纹章学, 军械库, 兵工厂
"
aroma,"n. 浓香, 香气
"
arsenal,"n. 兵工厂, 军械库
"
arthritis,"n. 关节炎
"
aspiring,"a. 有抱负的, 有志气的"
assorted,"a. 各种各样的, 分类的"
astounding,a. 令人惊骇的
astute,"a. 敏锐的, 狡猾的"
asymmetrical,"a. 不对称的, 偏位的
"
atheist,n. 无神论者
atrophy,"n. 萎缩, 萎缩症
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
attire,"n. 服装, 盛装
vt. 使穿衣, 打扮"
audible,"a. 听得见的
"
audition,"n. 听, 听力, 试听
"
autobiography,n. 自传
automated,a. 自动化的；机械化的
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
aversion,"n. 厌恶, 讨厌的事, 讨厌的人
"
avid,"a. 渴望的, 急切的, 劲头十足的"
avocation,"n. 副业, 嗜好
"
baby-sitter,临时替人看护婴幼儿者
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
backdrop,"n. 背景幕, 背景"
barb,"n. 倒钩
vt. 装倒钩于"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
barter,"n. 物物交换, 实物交易
v. 物物交换, 交换"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
beak,"n. 鸟嘴, 喙
"
bedrock,"n. 基岩, 基本原理, 基础"
belie,"vt. 掩饰, 与...不符, 使失望"
bellows,"n. 风箱
"
