agnostic,n. 不可知论者
amorphous,"a. 无定形的, 无组织的
"
anomalous,"a. 不规则的, 反常的
"
anonymity,"n. 匿名, 姓氏不明
"
apathy,"n. 无感情, 无兴趣, 冷漠
"
atrophy,"n. 萎缩, 萎缩症
"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
acrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的
"
acrimonious,"a. 尖刻的, 讥讽的, 激烈的"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
acumen,"n. 敏锐, 聪明"
acerbic,"a. 酸的, 尖刻的"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
interaction,"n. 交互作用, 交感
"
radioactive,"a. 放射性的, 有放射能的
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
enact,"vt. 制定法律, 扮演, 颁布
"
exacting,"a. 苛求的, 吃力的"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
reactant,"n. 反应物
"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
agog,"a. 兴奋着的, 急切的
adv. 急切地, 渴望"
pedagogy,"n. 教育学, 教授法, 教学工作"
demagogue,n. 煽动者
agony,"n. 极大的痛苦, 挣扎
"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
antagonistic,"a. 对抗的, 敌对的
"
protagonist,"n. 主人公, 主角, 领导者"
agrarian,"a. 土地的, 耕地的
"
agriculture,"n. 农业
"
agronomy,"n. 农艺学, 农学"
agronomist,"n. 农艺师, 农学家"
aircraft,"n. 航空器, 飞机
"
airtight,"a. 气密的, 不透气的, 无懈可击的
"
aerate,"vt. 使暴露于空气中, 使充满气体
"
anaerobic,"a. 厌氧的, 在缺氧情况下生活的
"
alter,v. 改变
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
altruist,"n. 利他主义者, 无私者"
alias,"n. 别名, 化名
adv. 以化名为人所知
"
alibi,"n. 不在犯罪现场, 托辞
v. 为...辩解"
alienate,"vt. 使疏远, 离间, 转让
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
enamor,"vt. 迷住, 使迷恋"
glamorous,"a. 富有魅力的, 迷人的"
