let's,abbr. let us 让我们
let us,[网络] 让我们；让我们自己；让我们一起
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
Cool!,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
how many, 几何；几；多少；几多
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
three,"num. 三, 三个"
four,"num. 四, 四个
"
yellow,"n. 黄色
a. 黄色的"
five,"num. 五, 五个"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
Ouch!,"interj. 哎唷(表剧痛)
n. 扣环, 胸针, 珠宝饰物"
I'm sorry.,抱歉
That's OK.,[网络] 不用了；可以；没有关系
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
carrot,"n. 胡萝卜
"
Me too., 我也是
onion,"n. 洋葱
vt. 因洋葱使掉泪"
"No, thanks.",别管闲事
pea,"n. 豌豆, 似豌豆的东西"
"Yes, please.",[网络] 是的；是的谢谢；那就麻烦你了
we,pron. 我们
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
the,art. 那
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
they're,abbr. they are 他们是
they are,无
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
beautiful,a. 美丽的
bird,"n. 鸟, 羽毛球
vi. 打鸟"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
colourful,"a. 颜色丰富的, 鲜艳的, 艳丽的, 多色的, 丰富多彩的, 吸引人的, 引人入胜的
"
what's," （尤当 has 为助动词时, what is 或 what has 的常用口语形式）; 乌"
what is,[计] whatis命令
What's this?,[网络] 这是什么；这个是什么；这个是什麽
ladybird,n. 瓢虫
cute,"a. 可爱的, 聪明的, 伶俐的
"
cicada,n. 蝉
butterfly,"n. 蝴蝶
"
dragonfly,n. 蜻蜓
Are you ready?,[网络] 准备好了吗；你准备好了吗；你们准备好了吗
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
Well done!, 做得不错
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
What's that?,[网络] 那是什么；什么原因；这是什么
Shh!,"int. 嘘, 安静一点, shew [古]show"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
Baa!,abbr. Bachelor of Applied Arts 应用文学学士; British Airports Authority 英国飞机场管理局
lamb,"n. 小羊, 羔羊
v. 产羊羔"
Quack!,"n. 鸭叫声, 冒牌医生, 冒充内行之人
a. 冒牌医生的
v. 嘎嘎叫, 当冒牌医生, 夸大广告"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
cow,"n. 母牛, 母兽
vt. 威胁"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
hankie,n. 手帕
and,"conj. 和, 与
"
sticker,"n. 屠夫, 尖刀, 刺, 芒, 尖物, 携带尖刀者, 张贴物, 滞销品, (非正式)难题
"
yo-yo, 悠悠球，溜溜球，摇摇（拉线使圆盘旋转着沿线上下来回移动）
