Hello!,"int. 喂；哈罗
n. 表示问候， 惊奇或唤起注意时的用语
n. (Hello)人名；(法)埃洛"
Good morning.,早上好
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
Hi.,[网络] 可移动磁盘
Good afternoon.,下午好
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
I'm,"na. 'im = him
"
I am,[网络] 我是；这就是我；唯我是问
are,be的现在时复数或第二人称单数
you,"pron. 你, 你们"
yes,"adv. 是
n. 是, 同意
v. 同意"
am,"be的单数第一人称
"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
not,"adv. 不, 非, 未
"
Goodbye.,再见（歌曲名）
my,"pron. 我的
"
friend,"n. 朋友, 支持者, 赞助者
"
she,pron. 她
she's,abbr. she has 她（已经）; she is 她是
she is,无
he,"pron. 他
n. 男孩, 男人, 雄性动物"
he's,"他是, 他有"
he is,他是
too,"adv. 也, 非常, 太"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
is,"be的现在式第三人称
"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
family,"n. 家庭, 家人, 族
a. 家庭的"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
brother,n. 兄弟
me,pron. 我
grandpa,"爷爷, 老太爷, 外公"
grandma,"n. 奶奶, 外婆"
Good evening.,晚上好
look at,"看, 考虑, 着眼于"
T-shirt,"短袖运动衫,短袖汗衫"
it,"pron. 它
"
it's,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
"
it is," [医]〔复-itides〕〔后缀〕炎, 炎症"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
How nice!,[网络] 多好啊；好漂亮；多好呀
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
What colour ...?,无
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
and,"conj. 和, 与
"
yellow,"n. 黄色
a. 黄色的"
black,"n. 黑色, 黑颜料
a. 黑色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
Would you like ...?,[网络] 你愿意；你愿意……吗；你想要---吗
an,art. 一
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
"Yes, please.",[网络] 是的；是的谢谢；那就麻烦你了
or,"conj. 或, 或者
"
a,"第一个字母 A; 一个; 第一的
art. "
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
Nice to meet you.,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
"No, thank you.",[网络] 不用了，谢谢；不用谢；谢谢不用了
What about ...?,adv. 怎么样，以为如何（提出建议或用以引出话题）
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
ice cream,"冰淇淋
"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
hot dog,"n. <口>热狗（一种中间夹有熏红肠并配有芥菜, 作料等的面包）"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
what's," （尤当 has 为助动词时, what is 或 what has 的常用口语形式）; 乌"
what is,[计] whatis命令
Happy New Year!, 新年快乐；新春快乐
uncle,"n. 叔父, 伯父, 姨丈"
This is for you.,无
doll,"n. 洋娃娃, 无头脑的美丽女人"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
car,"n. 汽车, 客车
"
Happy Birthday!,n. 生日快乐
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
ah,"interj. 啊, 哈"
ha,"interj. 嘿, 哈, 哈哈"
