oh,interj. (表示惊讶、恐怖、赞叹)哦
e-dog,无
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
student,"n. 学生, 研究者, 学者"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
classmate,n. 同班同学
after school,放学后
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
be good at,擅长
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
there,adv. 在那里
classroom,n. 教室
dancing,"n. 舞蹈
"
swimming,"n. 游泳, 眩晕"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
looks,n. 美貌
cute,"a. 可爱的, 聪明的, 伶俐的
"
hobby,"n. 嗜好, 癖好, 爱好"
glad,"a. 高兴的, 喜欢的, 情愿的"
everyone,"pron. 每个人, 人人
"
come from,"来自, 出生于"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
walking,"n. 步行, 步态
a. 步行的, 步行用的"
really,"adv. 实际上, 真实地, 实在"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
tennis,n. 网球
volleyball,n. 排球
enjoy,"vt. 享受, 喜欢, 欣赏
"
go swimming, （去）游泳
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
member,"n. 成员, 会员
"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
come true,"实现, 成为事实"
drawing,"n. 图画, 制图, 拉
"
weekend,"n. 周末, 周末休假"
at weekends, 在周末
on weekends,[网络] 在周末；每逢周末；每周末
at the weekend, 在周末
on the weekend,周末
of course,当然
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
table tennis,乒乓球
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
lot,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
a lot of,许多的
lots of,"许多的..., 大量的..."
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
talk about," 讨论, 谈论; 考虑（做…）; 唠; 话"
talk of,"[法] 谈到, 说到, 说及"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
hero,"n. 英雄, 超越常人者, 男主角"
which,"pron. 哪一个, 那一个"
best,"a. 最好的
adv. 最好地
n. 最好的人"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
biology,"n. 生物学
"
geography,"n. 地理学, 地理
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
meeting,"n. 会议, 会面
"
o'clock,"n. ...点钟, 钟头"
OK,[网络] 确定；好；击
okay,"a. 好, 可以, 行, 对, 好吗, 很好
adv. 好, 可以, 行, 对, 好吗, 很好
n. 同意, 签认, 批准, 认可
vt. 同意, 签认, 批准, 认可"
gate,"n. 门, 牌楼, 大门, 通道, 闸
vt. 装门于
"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
show sb. around,"v. 带…参观
"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
in front of,在...前面
building,"n. 建筑物, 建筑
"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
ground floor,n. 第一层
first floor,n. 第一层
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
hall,"n. 门厅, 走廊, 会堂"
diary,"n. 日记
"
look at,"看, 考虑, 着眼于"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
let me see,"让我看看,让我想想,嗯"
after class, 下课后; 课余
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
telephone,"n. 电话, 电话机
v. 打电话"
on the phone, <口>在打电话，在接电话
from ... to ...,[网络] 从到；从什么到什么；起止时间
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
get up,"na. 起床；起身；站起来；叫…起床
"
go to school,上学
a.m.,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
"
p.m.,"abbr. (=prime minister)总理；首相；午后
n. 总理（全写为 prime minister）
"
reading room,阅览室
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
all kinds of,各种各样的
borrow,"vt. 借, 借入, 借用
vi. 借
"
borrow ... from ...,从…借入; 借用
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
few,"a. 很少的, 不多的, 少数的
n. 少数"
a few,"几个, 少数, 一些"
away,adv. 离去
far away from,远离…
on foot,"na. 步行；在进行中；徒步
"
best,"a. 最好的
adv. 最好地
n. 最好的人"
all the best,万事吉利;一路平安;一帆风顺(祝酒或送行时用语)
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
shall,aux. 将
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
have breakfast, 吃早饭
have lunch, 吃午餐
have dinner,吃晚饭
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
have lessons, 上课
after-school,放学后
activity,"n. 活动, 行动, 活跃, 活力
"
homework,"n. 家庭作业, 家里做的工作
"
go to bed,"上床, 睡觉"
usually,"adv. 通常, 大抵"
never,"adv. 从不, 决不, 不曾
"
be late for,迟到
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
