declare,"v. 宣布, 声明, 申报, 断言"
scold,"n. 好骂街的人, 责骂
v. 责骂"
deter,"vt. 制止, 吓住, 威慑"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
quantity,"n. 量, 数量, 总量
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
dispel,"vt. 驱散, 驱逐"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
persist,"vi. 坚持, 固执, 持续, 坚称
"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
slacken,"vt. 使松弛, 放松, 放慢
vi. 变松弛, 减弱, 松劲"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
cease,"n. 停止
v. 停止, 终了"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
prevail,"vi. 获胜, 流行, 盛行
"
adapt,"vt. 使适应, 改编
vi. 适应"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
accurate,"a. 正确的, 精确的
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
elegant,"a. 优雅的, 端庄的, 高雅的"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
property,"n. 财产, 所有权, 性质, 属性
"
mislead,vt. 误导
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
