tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
beside,prep. 在旁边
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
Australia,"n. 澳洲, 澳大利亚"
behind,"adv. 在后地
prep. 在...背后"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
hair,"n. 头发, 毛发, 些微
"
where,"adv. 在哪里
pron. 哪里
n. 地点"
sitting room,起居室
lovely,"a. 可爱的, 有趣的"
panda,"n. 大熊猫, 小熊猫"
September,n. 九月
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
Teachers' Day,教师节
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
National Day, 国庆日，国庆节；国定纪念日
holiday,"n. 假日, 假期, 节日
vi. 度假"
uncle,"n. 叔父, 伯父, 姨丈"
won't,[网络] 惯于
will not,无
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
October,n. 十月
there,adv. 在那里
turn on,"na. 转向；对…进行突击
"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
Internet,[网络] 互联网；因特网；网际网路
cinema,"n. 电影院, 电影"
sit down,"坐下, 占据, 参加静坐罢工(或示威)"
put on,"na. 假话
"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
museum,n. 博物馆
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
chess,"n. 国际象棋
"
play chess,下棋
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
April,n. 四月
March,abbr. Master of Architecture 建筑学硕士
June,n. 六月
May,"n. 五月
aux. 愿能, 可以, 愿意"
month,"n. 月
"
December,n. 十二月
January,n. 一月
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
November,n. 十一月
February,n. 二月
Excuse me.,对不起
get to,"到达, 接触到, 开始, 对...有影响"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
far away, 遥远; 迢迢; 远离; 迥
or,"conj. 或, 或者
"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
men,pl. man的复数
You're welcome.,[网络] 不客气；别客气；不用谢
hospital,"n. 医院
"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
go straight,"笔直走, 正直做人
"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
bus stop,公共汽车站
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
sorry,"a. 难过的, 悲哀的, 遗憾的"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
on my way, （已经上路了），马上就到
city,"n. 城市, 市
"
the USA,[网络] 美国；悠游美国
classmate,n. 同班同学
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
know,"v. 知道, 了解, 认识, 确信"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
