body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
the,art. 那
has,have的第三人称单数现在式
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
does,v. 做；工作；有用（do的第三人称单数形式）
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
feet,"pl. 脚
n. 尺"
doesn't,aux. 表示否定
family,"n. 家庭, 家人, 族
a. 家庭的"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
there,adv. 在那里
who,pron. 谁
brother,n. 兄弟
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
grandma,"n. 奶奶, 外婆"
grandpa,"爷爷, 老太爷, 外公"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
she,pron. 她
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
bus,"n. 公共汽车
"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
what about,adv. 怎么样，以为如何（提出建议或用以引出话题）
on foot,"na. 步行；在进行中；徒步
"
whose,pron. 谁的
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
trousers,"pl. 裤子, 长裤"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
shoes,n. 鞋子（shoe的复数）
socks,"短袜, 袜子, 鞋内的衬垫, 轻软鞋, 巨款, 存款, 存钱处, 银箱, 拳打, 一击, 重击"
very much, 非常; 良; 无可不可
her,"pron. 她的, 她"
his,"pron. 他的
"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
cookie,"n. 饼干, 小甜点
"
tea,"n. 茶, 茶叶
"
grapes,"[医] 马体葡萄疮, 牛结核"
banana,n. 香蕉
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
desk,"n. 书桌, 办公桌, 工作台"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
door,n. 门
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
classroom,n. 教室
excuse me,对不起
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
thanks,"n. 感谢, 谢意, 谢忱
interj. 谢谢, 谢谢你"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
TV,"n. 电视；电视机
abbr. (=television)
"
student,"n. 学生, 研究者, 学者"
teacher,"n. 教师, 老师, 导师"
blackboard,n. 黑板
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
twenty,"num. 二十, 二十个"
eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
thirteen,"num. 十三, 十三个"
fourteen,"num. 十四, 十四个"
fifteen,"num. 十五, 十五个"
sixteen,"num. 十六, 十六个"
seventeen,"num. 十七, 十七个"
eighteen,"num. 十八, 十八个"
nineteen,"num. 十九, 十九个"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
big,"a. 大的, 重要的
adv. 大量地"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
grass,"n. 草, 草原, 牧场
"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
but,"prep. 除了
conj. 但是
adv. 仅仅"
its,pron. 它的
