violin,n. 小提琴
play the violin,叹苦经想得到人们的同情
do eye exercises,无
play sports, 参加体育运动或比赛
learn,vt. 学习；认识到；得知
learn English,"na. 学英语
"
have a rest, 休息一下; 歇
take out the book,无
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
right now,就在此时
always,"adv. 总是, 始终"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
usually,"adv. 通常, 大抵"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
healthy,"a. 健康的, 有益健康的, 卫生的
"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
take a walk,散步
play ping-pong,[网络] 打乒乓球
play tennis,[网络] 打网球；玩网球；打球
boat,"n. 船
vi. 乘船
vt. 以船运"
go boating, 划船；泛舟
go skating,去滑冰
go shopping,去买东西
a lot of,许多的
how often, 多久，多常
twice,"adv. 两次, 两倍"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
do well in,"成绩好,…做得好"
care for,"喜欢, 照顾, 为...操心, 尊重"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
pick flowers,攀折花木
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
make the air dirty,无
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
drive a car, 开车; 开汽车
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
have to," 不得不, 只好; 只得; 必须; 不得已"
World Car Free Day,无
something,"pron. 某事, 某物"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
also,"adv. 也, 并且, 同样地"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
go on a picnic,去野餐
take out of,"na. 除去；要赔偿；报仇
"
