abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
accordance,"n. 一致, 和谐"
adjective,"n. 形容词
a. 形容词的, 从属的"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
admittance,"n. 进入, 进入权, 准许进入
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
agreement,"n. 同意, 合约, 协议
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
aloud,"adv. 出声地, 大声地"
alphabet,"n. 字母
"
amusement,"n. 兴味, 娱乐, 消遣
"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
ankle,"n. 踝
"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
bacteria,"pl. 细菌
"
bamboo,"n. 竹子
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
barrier,"n. 障碍, 栅栏
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
benefit,"n. 利益
vt. 有益于
vi. 受益"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
candidate,"n. 候选人, 投考者
"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
carriage,"n. 马车, 客车, 举止, 运输
"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
centimetre,"n. 厘米, 公分"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
colleague,"n. 同事, 同僚"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
crisis,"n. 危机, 危险期, 紧要关头
"
customer,"n. 消费者
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
declaration,"n. 宣告, 说明, 宣布
"
decoration,"n. 装饰, 装饰品"
defect,"n. 缺点
"
definitely,"adv. 明确无疑地, 清楚地"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
emphasise,"vt. 强调, 重读, 加强...的语气, 着重"
enclosure,"n. 附件, 围墙, 围绕
"
environment,"n. 环境, 外界, 围绕
"
equality,"n. 平等, 均匀, 相等
"
especially,"adv. 尤其, 特别, 格外"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
faithless,"a. 无信的, 不忠实的"
