absence,"n. 缺席, 缺乏, 没有
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
absent-minded,"adj. 茫然的
"
absentee,"n. 缺席者, 不在者
"
absenteeism,"n. 经常无故缺席, 旷职, 旷工, 旷课
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academics,"n. 学习, 学术; 学者( academic的复数形式 ); 大学教师; [复数]（院校的）学术活动; [A-]柏拉图哲学信奉者"
academy,"n. 学院, 院校, 学会"
academician,"n. 学会会员, 院士, 学究, 大学生, 学者"
accelerate,"v. 加速, 促进"
acceleration,"n. 加速, 促进, 加速度
"
accelerator,"n. 加速剂, 加速器, 油门
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accompanist,n. 伴奏者
accomplish,"vt. 完成, 达到, 实现, 使完美"
accomplishment,"n. 成就, 完成"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountant,"n. 会计人员, 会计师
"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
accounting,"n. 会计学, 帐单, 清帐
"
accurate,"a. 正确的, 精确的
"
accurately,"adv. 正确地, 精确地"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acknowledgement,"n. 承认, 确认, 感谢, 收到的通知
"
acoustic,"a. 听觉的, 声学的, 音响的
"
acoustics,"n. 音响效果, 声学
"
acquisition,"n. 获得, 获得物
"
acquisitive,"a. 渴望获得的, 贪婪的
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activation,"n. 活化, 激活
"
adapt,"vt. 使适应, 改编
vi. 适应"
adaptive,"a. 适应的, 能适应的"
adaptability,"n. 适应性
"
adaptor,"n. 改编者, 插座, 转接器, 接合器, 拾音器
"
adequate,"a. 适当的, 足够的
"
adequately,"adv. 足够地, 适当地"
adequacy,"n. 适当, 足够"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustable,"a. 可调节的
"
adjustment,"n. 调整, 调节, 校正
"
adjuster,"n. 调整员, 调停者, 调节器
"
administration,"n. 行政, 管理, 政府机关
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
administrative,"a. 管理的, 行政的
"
administrator,"n. 管理人, 行政官
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adoption,"n. 采用, 采纳, 收养
"
adoptive,"a. 有收养关系的, 采用的
"
adopted,"a. 被收养的, 被采用的"
advent,"n. 来到, 来临"
adventure,"n. 冒险, 冒险经历
v. 冒险"
adventurous,"a. 喜欢冒险的, 有进取心的, 危险的"
adventurist,n. 冒险主义者
adventurer,"n. 冒险家, 投机者
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affective,"a. 情感的, 表达感情的
"
affected,"a. 假装的, 做作的, 受影响的"
affecting,"a. 感人的, 动人的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
agency,"n. 代理机构, 经销商, 中介
"
alter,v. 改变
alteration,"n. 变更, 改动
"
altitude,"n. 高度, 海拔, 高处
"
analyse,"vt. 分析, 细察, 分解
"
analysis,"n. 分析
"
analytical,"a. 分析的, 善于分析的, 解析的
"
analyst,"n. 分析者, 精神分析学家
"
anthropology,"n. 人类学
"
anthropologist,n. 人类学家
anthropological,"a. 人类学的, 人类学上的"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anticipation,"n. 预期, 预料
"
anticipatory,"a. 期待着的, 先行的, 提早发生的
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
apparently,"adv. 表面上, 清楚地, 显然地"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appealing,"a. 有感染力的, 动人的, 恳求的"
applicant,"n. 申请者
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
appraisal,"n. 评价, 估价
"
appraise,"vt. 评价, 估价
"
appreciation,"n. 感激, 赏识, 鉴别
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appreciative,"a. 有欣赏力的, 感激的"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
approachable,"a. 可接近的, 可亲近的
"
approachability,"n. 可接近性, 可亲近"
appropriate,"a. 适当的
"
appropriately,"adv. 适当的, 恰如其分的, 恰当的, 合适的"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
approximately,"adv. 大约, 大致, 近于
"
archaeology,n. 考古学
archaeologist,n. 考古学家
archaeological,"a. 考古学的, 考古学上的"
