abandon oneself to,沉溺于
above all,"尤其是, 首先"
according to,"根据, 按照；取决于；据…所说"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
accuse ... of ...,"un. 控告
"
act as," 担当…, 起…的作用; 充; 充当; 为"
adapt to,适应…;适合…
add in,"n. 外接程序（程序名）
n. (Addin)人名；(阿拉伯)阿丁"
adjust to,[计] 调整至
admit doing sth.,[网络] 承认做某事；承认做过某事；承认做了某事
after all,毕竟
agree on,"就…取得一致意见,商定"
ahead of,在…之前
aim at,"v. 目的在于
"
all alone,独立地
all but,"几乎, 差一点"
all of a sudden,突然
all one's life,一生
all over,"全部结束, 到处, 浑身"
all right,"好, 顺利, 良好的, 正确的"
all round,"周围, 四处"
all around,周围
all the best,万事吉利;一路平安;一帆风顺(祝酒或送行时用语)
all the same,仍然
all the way,"从远道, 自始至终, 一路上"
all through,一直
all together,一起
allow for,"虑及, 体谅"
along with,"与…一道,与…一起,连同…"
and so on,等等
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
anything but,"单单除...之外, 决不"
apart from,除了...之外
apologize to sb. for sth.,[网络] 因某事向某人道歉
apologize to sb. for doing sth.,无
appeal to,[法] 诉诸...
apply for,"申请,请求,要求…"
approve of,"赞成,批准…"
arise from,"从…中产生,由…而引起"
arm in arm,臂挽臂
around the corner,"在拐角处, 在附近, 即将来临"
arrive at,"到达, 达到"
as a consequence,"因此, 结果是"
as a matter of fact,事实上
as a result,结果
as far as,"远到, 直到, 至于"
as follows,如下
as for,至于
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
as long as,只要...
so long as,只要
as soon as,一...就
as usual,照常
as well,也
as well as,"也, 又"
ask for,"na. 要(价)；来找
"
at a distance,有相当距离
at a loss,"困惑, 亏本地"
at a low price,"[经] 廉价, 低价"
at a time,"每次, 在某时"
at all,[网络] 高的
at all costs,不惜任何代价
at any rate,"无论如何, 至少"
at ease,"na. 自由自在；=stand at ease.
"
at first,起先
at first sight,乍一看
at hand,"在手边, 在附近, 即将到来"
at last,终于
at least,"至少
"
at length,"最后, 详细地"
at most,至多
at the most,最多
at once,立刻
at one's best,处在最佳状态
at present,"现在, 目前"
at random,"胡乱地, 随便地
"
at risk,"un. 担风险
"
at one's convenience,"最方便地, 最合适地"
at one's expense,无
at one's service,"乐意帮助,听.使唤"
at table,在餐桌边
at the age of,在…年龄的时候
at the beginning of,在…刚开始的时候
at the bottom of,在…的底部
at the end of,"在…末尾,在…结束时"
at the moment,此刻
at war,在交战状态中
at work,"在工作, 在运转"
attach ... to ...,"v. 连接在…上；归于
"
attempt to do sth.,v. 尝试去做
attend to, 处理; 注意; 听取; 致力于
attitude to,"un. 对…态度
"
attitude toward,vt. 对。。。的态度，意见
attribute ... to ...,"na. 认为(成功)是(努力)的结果
"
avoid doing sth.,[网络] 避免做某事；避免干某事；防止做某事
awake to,"意识到,察觉到"
back and forth,来回地
bargain with sb. for sth.,无
base ... on ...,"v. 根据
"
be able to do sth.,[网络] 能够做某事；能做某事；有能力做某事
be about to do sth., 即将做某事
be absorbed in,"全神贯注于, 专心于"
be abundant in,"富于,有很多"
be accustomed to,习惯于
be addicted to,沉迷于…
be admitted into, 入
be admitted to, 加入
be angry with,对(某人)生气
be anxious about,"渴望, 担忧"
be ashamed of,"感到羞耻, 惭愧"
be associated with, 和…联系在一起; 与…有关
be aware of,知道
be blessed with,在…方面有福气;幸运地享有
be bored with,对…感到厌倦
be bound to do sth.,[网络] 注定；一定会做某事；必然
be busy with sth.,忙于
be capable of,能够
be close to,"接近于..., 在...附近, 在...左近"
be concerned about,关心...
be content with,以...为满足
be crazy about,"狂热爱好..., 着迷..."
be curious about,对...感到好奇
be different from,"与…不同,和…不一样"
be equal to,"胜任, 相等, 合适"
be faced with,"面对,面临着…"
be familiar to,对…熟悉的
be famous as,作为…而闻名遐迩
be fit for,适合于
be fond of,"喜爱, 爱好"
be frightened to death,吓得要死
be full of,充满
be good at,擅长
be interested in,对…很感兴趣
be known as,被认为是
be likely to,"有可能…,很可能…"
be lost in,沉醉于…
be opposed to,"反对..., 与...相对"
be particular about,"对…很挑剔,过于讲究"
be pleased at,"对…感到高兴,喜欢…"
be pleased about,无
be pleased with,"对…喜欢,满意于"
be popular with,为...所喜欢
be proud of,"自豪, 高兴"
be ready for,为…作好准备
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be relevant to,与...有关
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
"
be sensitive to,"敏感, 灵敏"
be short for, 是…的简称；是…的缩写
be similar to,与...相似
be strict in,[网络] 对某事严格要求；对某事要求严格；严于
be supposed to,"应该, 被期望"
be sure about,对…有把握
be sure of,"确信..., 肯定..., 对...有把握"
be tired of,厌烦
be true of,符合于
be unique to,[网络] 为…特有；对……来说是独一无二的；为…所独有
be willing to do sth., 愿意做某事
because of,因为
become of," 发生, 结果是"
before long,不久以后
begin with,"以…开始,首先"
believe in,"信仰, 信任"
believe it or not,信不信由你
belong to,属于
benefit from,从…获利
beyond control,"na. 无法控制
"
blame sb. for sth.,[网络] 因……责备；责怪；因…怪罪
blow away,"na. 吹走；〈非正式〉用枪杀死某人；〈非正式〉震惊；主要用于美式英语
"
break away,"突然离开, 脱离, 放弃"
break away from,"摆脱,脱离"
bring about,"na. 造成；带来；【航】(使船)回转
"
build up,"树立, 增进, 增大, 堵塞
"
burn down,"烧成平地, 火力减弱
"
burst into,"闯入, 开出, 突然出现"
but for,要不是
by accident,偶然
by air,乘飞机
by all means,"尽一切办法, 一定"
by chance,"偶然, 也许"
by name,"名叫..., 用名字, 凭名字"
by nature,天生地
call attention to,[网络] 唤起注意；引起对…的注意；关注
call at,"停靠(车站), 拜访(家/办公室)"
calm down,"平静下来, 镇定下来"
can't but,[网络] 不得不
can't help but,〈美〉不得不; 不能不; 必须; 只好
can't help doing sth.,[网络] 禁不住做某事；情不自禁做某事；忍不住做某事
can't wait to,无
care about,担心
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
"
cast about for,四处寻找，设法找到；设法；筹划
cast aside,"na. 抛弃
"
catch a glimpse of,瞥见
catch fire, 着火着火; 失火; 发火; 走水
catch hold of,抓住
catch on,"变得流行, 理解, 明白"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,赶上
cater for,"供应伙食, 迎合"
center on," 以…为中心; 重点在于…, 主要与…有关"
center upon,无
change ... for ...,交换
change into,变成
change one's mind,"改变主意
"
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
"
check in,"登记, 报到
"
cheer ... on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
chew over,"na. “chew upon”的变体
"
chip in,"插嘴, 捐助, 下赌注"
choke off, 中止做; 使放弃做; 批评; 责备
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
