ability,"n. 能力, 才干
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
activity,"n. 活动, 行动, 活跃, 活力
"
after-school,放学后
algebra,n. 代数学
appropriately,"adv. 适当的, 恰如其分的, 恰当的, 合适的"
arithmetic,"n. 算术, 算术知识
"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
assessment,"n. 评估, 估定, 评定的款额
"
assumption,"n. 假定, 自负, 担任, 假装
"
attentively,"adv. 注意地, 留心地"
boarding,"n. 木板
"
botanical,"a. 植物学的
n. 植物性药材"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
cheerleader,n. 啦啦队长
cheerleading,n. 带领啦啦队
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
competitive,"a. 竞争的
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
compulsory,"a. 被强制的, 强迫的, 义务的
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
consider,"v. 考虑, 思考, 认为"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
cube,"n. 立方体, 立方
"
determination,"n. 决心, 果断
"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
difference,"n. 不同, 差异
"
different,"a. 不同的
"
difficult,a. 困难的
difficulty,"n. 困难, 难点"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discuss,"vt. 讨论, 论述
"
educator,n. 教育家
excellent,"a. 优良的, 杰出的, 出色的"
expect,"vt. 预期, 盼望, 期待"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
fortnight,n. 两星期
geography,"n. 地理学, 地理
"
geometry,"n. 几何学
"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
gram,"n. 克, 绿豆, 鹰嘴豆
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
idiom,"n. 习语, 成语, 惯用语法, 方言"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
include,"vt. 包括, 把...算入, 包住
"
instruct,"vt. 教, 教育, 命令, 通知
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
librarian,"n. 图书馆员, 图书管理员
"
mathematics,"n. 数学
"
mediator,"n. 调停者, 传递者, 基督
"
mummy,"n. 木乃伊, 瘦而干瘪之人, 妈咪
"
outdoor,"a. 户外的, 屋外的, 露天的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
prom,"n. (英)音乐会, (美)舞会, 散步道
"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
recite,"v. 背诵, 朗读, 叙述"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
schoolchildren,n. 小学生（schoolchild的复数）
self-assessment, [财]自我评税; [体]自我评价
semicircle,n. 半圆形
seminar,"n. 研究班, 专题讨论会
"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
squad,"n. 班, 小队, 小集团
vt. 编成班"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
thinking,"n. 思考, 思想
a. 思考的, 有理性的"
T-shirt,"短袖运动衫,短袖汗衫"
weekday,"n. 周日, 平日
"
zipper,n. 拉链
alphabetical,"a. 依字母顺序的, 字母的"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
frankly,adv. 坦白地
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
pompom,n. 大型机关炮
satchel,"n. 书包, 小背包"
tetrahedron,n. 四面体
as a whole,总体上
be based on,"以…为基础,以…为根据"
be considered as,被认为/看作是...
be likely to do,无
be strict with,"对...严格, 对...严历"
come up with,"赶上, 提出"
drop out,"掉出, 退出, 离队
"
frankly speaking,坦白地说
glance through,浏览
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
in my view, 在我看来; 我认为
It's a great pity that ...,无
keep it up, 继续下去，不松劲
lay off,"na. 辞退；停止；暂停
"
look back at,无
lose interest in,对…失去兴趣
open the floor,无
play an important part in,[网络] 在…方面起重要作用；在……中起重要作用；在……起重要作用
point of view,"观点
"
refer to,"v. 查阅；提到
"
school leaver,n. 毕业生；应届生
set off,"na. 分；分割；划开；区划
"
sum up,"na. 〈口〉概括；总结
"
talk sth. over with sb., 洽商；相商；洽谈
tend to,"注意, 趋向"
to a certain extent,在某种程度上
boarding school,寄宿学校
master's degree,硕士学位
abundant,"a. 丰富的, 充分的, 大量的"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
autonomous,"a. 自治的
"
bachelor,"n. 单身汉, 学士
"
cafeteria,"n. 自助餐厅
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
convey,"vt. 传达, 运输, 转让
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
cyclist,n. 骑脚踏车的人
departure,"n. 离开, 出发, 违背, 偏离
"
divert,"vt. 转移, 使欢娱
vi. 转移"
drunk,"a. 喝醉了的
drink的过去式"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
enquiry,"n. 询问
"
expedition,"n. 远征, 探险队, 迅速"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
gallon,"n. 加仑
"
handful,"n. 少数, 一把, 棘手事"
horse-drawn,"adj. 马拉的
n. 马拉的
"
insure,"vt. 保险, 确保
vi. 投保"
interval,"n. 间隔, 距离, 间歇, 间隙
"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
