able,"a. 能干的, 能够的"
consider,"v. 考虑, 思考, 认为"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
compete,"vi. 竞争, 对抗"
cooperation,"n. 合作, 协力, 配合
"
available,"a. 可利用的, 可获得的, 有效的
"
afford,"vt. 买得起, 足以, 给予"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
depend,"vi. 靠, 视...而定, 信赖"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
decrease,"n. 减少, 减少量
v. 减少"
aspect,"n. 外观, 方面, 面貌, 方向
"
