swimmer,n. 游泳者
born,"a. 天生的
bear的过去分词"
be born, 出生于…; 落地; 诞; 下生
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
get in trouble,惹上麻烦
Nobel Prize,诺贝尔奖
literature,"n. 文学, 文艺, 著作
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
drop out of school,n. 退学; 停学
means,"n. 方法, 手段, 工具, 财产, 收入
"
try every means to do,无
at hand,"在手边, 在附近, 即将到来"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
sorghum,"n. 高粱, 芦黍糖浆, 甜得发腻的东西
"
director,"n. 主管, 导演, 董事
"
frog,"n. 青蛙
"
works,"n. 工程, 工厂, 工事, 活动部件, 机件, 著作, 作品, 善行, 德行
"
besides,"prep. 除...之外
adv. 而且, 此外"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
opera,n. 歌剧
Brazilian,"n. 巴西人
a. 巴西的, 巴西人的"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
loving,"a. 亲爱的, 钟情的, 忠诚的"
grandson,"n. 孙子, 外孙"
skating,n. 溜冰
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
lover,"n. 爱人, 爱好者"
waltz,"n. 华尔兹舞, 圆舞曲
a. 华尔兹舞的, 圆舞曲的
vi. 跳华尔兹舞, 轻快地走动
vt. 与...跳华尔兹舞, 硬拖"
poet,n. 诗人
listener,"n. 收听者, 听众"
chart,"n. 图表, 海图
vt. 制成图表
"
the music charts,无
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
Minute Waltz,无
Love Me Do,[网络] 爱我吧；真心地爱我；好好爱我
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
The Quarrymen,无
The Beatles,甲壳虫乐队（又名披头士）
Kobe,n. 神户（日本本州岛西南岸港市）
Messi, 梅西
David Blaine,无
Shirley,n. 雪莉（女子名）
Mozart,n. 莫扎特
Ronaldo,n. 罗纳尔多（男子名、姓氏）
Arthur,"n. 亚瑟（男子名）；亚瑟王（传说中六世纪前后英国的国王, 圆桌骑士团的首领）"
Vivian,n. 维维安（女子名）
Midori,n. 美岛绿（日籍天才小提琴家）
Laura,n. 劳拉（女子名）
Fryderyk Chopin,无
John Lennon,n. 约翰·列侬（英国男音乐家）
Osaka,[经] 大阪
Russia,"n. 俄国, 俄罗斯
"
Poland,n. 波兰
Warsaw,n. 华沙（波兰首都）
Liverpool,n. 利物浦
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
noon,"n. 正午, 中午, 全盛期"
chemistry,"n. 化学, 化学过程
"
