classmate,n. 同班同学
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
we,pron. 我们
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
PE,"n. 体育（课）（全写为 physical education）
"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
science,"n. 科学, 学科, 学问, 自然科学
"
English,[网络] 英语
maths,n. 数学
computer studies,n. 电脑课
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
often,"adv. 时常, 常常"
basketball,n. 篮球
there,adv. 在那里
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
piano,n. 钢琴
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
hobby,"n. 嗜好, 癖好, 爱好"
paper cutting, 剪纸
uncle,"n. 叔父, 伯父, 姨丈"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
day,"n. 天, 日子, 白天, 工作日
"
Wednesday,n. 星期三
Tuesday,n. 星期二
Friday,n. 星期五
Monday,n. 星期一
Thursday,n. 星期四
football,"n. 足球, 橄榄球"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
hurry up,"赶快, 匆匆完成"
Saturday,n. 星期六
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
year,"n. 年, 年度, 年龄
"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
autumn,"n. 秋天, 成熟期"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
T-shirt,"短袖运动衫,短袖汗衫"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
what about,adv. 怎么样，以为如何（提出建议或用以引出话题）
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
put on,"na. 假话
"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
sorry,"a. 难过的, 悲哀的, 遗憾的"
dad,"n. 爸爸, 爹爹"
raincoat,n. 雨衣
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
shall,aux. 将
can't,[网络] 不能
can not, 未可； 不能； 不可
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
has,have的第三人称单数现在式
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
hair,"n. 头发, 毛发, 些微
"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
parent,"n. 父母, 父母亲, 根源
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
businessman,"n. 商人, 实业家, 工商业家"
cute,"a. 可爱的, 聪明的, 伶俐的
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
hospital,"n. 医院
"
policeman,"n. 警察
"
gardener,"n. 园丁, 花匠, 园艺家"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
may,"n. 五月
aux. 愿能, 可以, 愿意"
hold on,"继续, 不挂断, 停止"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
do some training,无
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
email,n. 电子信函
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
everyone,"pron. 每个人, 人人
"
winner,"n. 胜利者, 优胜者
"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
long jump, 跳远
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
high jump, 跳高
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
